"term","name","namespace","n_sig","n_bg","gene_ratio","enrichment","pvalue","genes","padj"
"GO:0022613","ribonucleoprotein complex biogenesis","biological_process",131,369,0.3275,3.09216802168022,2.88742201472515e-39,"Mycgr3G75505;Mycgr3G102491;Mycgr3G77678;Mycgr3G71784;Mycgr3G106893;Mycgr3G54508;Mycgr3G70061;Mycgr3G69227;Mycgr3G108627;Mycgr3G107882;Mycgr3G65342;Mycgr3G99631;Mycgr3G107402;Mycgr3G73758;Mycgr3G87034;Mycgr3G73558;Mycgr3G100069;Mycgr3G75672;Mycgr3G91052;Mycgr3G74360;Mycgr3G98483;Mycgr3G11322;Mycgr3G108776;Mycgr3G107493;Mycgr3G72348;Mycgr3G98177;Mycgr3G94085;Mycgr3G91439;Mycgr3G90616;Mycgr3G72449;Mycgr3G63945;Mycgr3G36977;Mycgr3G103315;Mycgr3G56835;Mycgr3G74038;Mycgr3G68298;Mycgr3G84402;Mycgr3G73948;Mycgr3G111181;Mycgr3G60481;Mycgr3G38239;Mycgr3G39112;Mycgr3G31987;Mycgr3G99289;Mycgr3G71923;Mycgr3G67218;Mycgr3G60172;Mycgr3G68754;Mycgr3G46438;Mycgr3G104063;Mycgr3G70984;Mycgr3G105646;Mycgr3G41129;Mycgr3G57452;Mycgr3G65574;Mycgr3G108724;Mycgr3G98830;Mycgr3G75916;Mycgr3G69029;Mycgr3G73714;Mycgr3G67666;Mycgr3G50480;Mycgr3G34926;Mycgr3G71753;Mycgr3G60583;Mycgr3G93412;Mycgr3G32817;Mycgr3G69118;Mycgr3G99074;Mycgr3G105388;Mycgr3G110058;Mycgr3G111559;Mycgr3G81501;Mycgr3G104028;Mycgr3G83972;Mycgr3G100330;Mycgr3G19573;Mycgr3G56362;Mycgr3G77064;Mycgr3G97226;Mycgr3G75156;Mycgr3G102922;Mycgr3G69939;Mycgr3G85600;Mycgr3G71536;Mycgr3G30651;Mycgr3G101180;Mycgr3G74671;Mycgr3G73841;Mycgr3G88378;Mycgr3G79121;Mycgr3G87701;Mycgr3G110502;Mycgr3G107276;Mycgr3G40901;Mycgr3G74695;Mycgr3G20337;Mycgr3G107930;Mycgr3G92212;Mycgr3G110071;Mycgr3G74552;Mycgr3G70159;Mycgr3G99211;Mycgr3G111295;Mycgr3G99446;Mycgr3G98572;Mycgr3G107239;Mycgr3G75563;Mycgr3G110099;Mycgr3G101428;Mycgr3G39611;Mycgr3G87527;Mycgr3G19618;Mycgr3G28602;Mycgr3G100444;Mycgr3G101478;Mycgr3G61986;Mycgr3G109282;Mycgr3G71900;Mycgr3G41185;Mycgr3G65330;Mycgr3G100894;Mycgr3G57709;Mycgr3G104345;Mycgr3G73745;Mycgr3G43197;Mycgr3G100619;Mycgr3G42271;Mycgr3G107883;Mycgr3G73499;Mycgr3G103105",8.12809297145129e-36
"GO:0042254","ribosome biogenesis","biological_process",112,282,0.28,3.45929078014184,1.93284545034742e-38,"Mycgr3G75505;Mycgr3G102491;Mycgr3G77678;Mycgr3G71784;Mycgr3G106893;Mycgr3G54508;Mycgr3G70061;Mycgr3G69227;Mycgr3G108627;Mycgr3G107882;Mycgr3G65342;Mycgr3G99631;Mycgr3G73758;Mycgr3G87034;Mycgr3G73558;Mycgr3G100069;Mycgr3G75672;Mycgr3G91052;Mycgr3G74360;Mycgr3G98483;Mycgr3G11322;Mycgr3G108776;Mycgr3G107493;Mycgr3G72348;Mycgr3G91439;Mycgr3G90616;Mycgr3G72449;Mycgr3G36977;Mycgr3G103315;Mycgr3G56835;Mycgr3G68298;Mycgr3G84402;Mycgr3G73948;Mycgr3G111181;Mycgr3G60481;Mycgr3G38239;Mycgr3G39112;Mycgr3G31987;Mycgr3G99289;Mycgr3G71923;Mycgr3G60172;Mycgr3G68754;Mycgr3G46438;Mycgr3G104063;Mycgr3G70984;Mycgr3G105646;Mycgr3G41129;Mycgr3G65574;Mycgr3G108724;Mycgr3G69029;Mycgr3G73714;Mycgr3G67666;Mycgr3G50480;Mycgr3G34926;Mycgr3G93412;Mycgr3G32817;Mycgr3G99074;Mycgr3G105388;Mycgr3G110058;Mycgr3G111559;Mycgr3G81501;Mycgr3G104028;Mycgr3G83972;Mycgr3G100330;Mycgr3G19573;Mycgr3G77064;Mycgr3G97226;Mycgr3G75156;Mycgr3G102922;Mycgr3G69939;Mycgr3G85600;Mycgr3G30651;Mycgr3G101180;Mycgr3G73841;Mycgr3G88378;Mycgr3G79121;Mycgr3G87701;Mycgr3G110502;Mycgr3G107276;Mycgr3G40901;Mycgr3G74695;Mycgr3G20337;Mycgr3G107930;Mycgr3G92212;Mycgr3G110071;Mycgr3G74552;Mycgr3G70159;Mycgr3G99211;Mycgr3G111295;Mycgr3G99446;Mycgr3G98572;Mycgr3G107239;Mycgr3G75563;Mycgr3G101428;Mycgr3G87527;Mycgr3G19618;Mycgr3G28602;Mycgr3G100444;Mycgr3G101478;Mycgr3G109282;Mycgr3G71900;Mycgr3G65330;Mycgr3G100894;Mycgr3G57709;Mycgr3G104345;Mycgr3G73745;Mycgr3G43197;Mycgr3G100619;Mycgr3G42271;Mycgr3G107883;Mycgr3G73499;Mycgr3G103105",2.720479971364e-35
"GO:0005730","nucleolus","cellular_component",94,217,0.235,3.77299539170507,1.41080867338007e-35,"Mycgr3G102491;Mycgr3G106893;Mycgr3G54508;Mycgr3G110267;Mycgr3G107882;Mycgr3G65342;Mycgr3G72961;Mycgr3G99631;Mycgr3G73758;Mycgr3G87034;Mycgr3G73558;Mycgr3G100069;Mycgr3G75672;Mycgr3G74360;Mycgr3G98483;Mycgr3G11322;Mycgr3G107493;Mycgr3G72348;Mycgr3G91439;Mycgr3G36977;Mycgr3G103315;Mycgr3G56835;Mycgr3G68298;Mycgr3G84402;Mycgr3G73948;Mycgr3G25695;Mycgr3G60481;Mycgr3G98268;Mycgr3G38239;Mycgr3G99289;Mycgr3G71923;Mycgr3G68754;Mycgr3G46438;Mycgr3G70984;Mycgr3G41129;Mycgr3G100306;Mycgr3G65574;Mycgr3G44387;Mycgr3G108724;Mycgr3G73125;Mycgr3G69029;Mycgr3G73714;Mycgr3G67666;Mycgr3G50480;Mycgr3G100728;Mycgr3G102281;Mycgr3G93412;Mycgr3G32817;Mycgr3G99074;Mycgr3G110058;Mycgr3G111559;Mycgr3G58445;Mycgr3G83972;Mycgr3G19573;Mycgr3G97226;Mycgr3G43980;Mycgr3G69939;Mycgr3G85600;Mycgr3G30651;Mycgr3G101180;Mycgr3G106853;Mycgr3G73841;Mycgr3G79121;Mycgr3G87701;Mycgr3G110502;Mycgr3G107276;Mycgr3G40901;Mycgr3G20337;Mycgr3G107930;Mycgr3G92212;Mycgr3G110071;Mycgr3G74552;Mycgr3G109462;Mycgr3G67576;Mycgr3G99211;Mycgr3G111295;Mycgr3G99446;Mycgr3G98572;Mycgr3G107239;Mycgr3G75563;Mycgr3G101428;Mycgr3G87527;Mycgr3G28602;Mycgr3G100444;Mycgr3G101478;Mycgr3G109282;Mycgr3G71900;Mycgr3G65330;Mycgr3G100894;Mycgr3G57709;Mycgr3G73745;Mycgr3G43197;Mycgr3G42271;Mycgr3G103105",1.3238088051883e-32
"GO:0006364","rRNA processing","biological_process",88,204,0.22,3.75725490196078,5.08291499311167e-33,"Mycgr3G75505;Mycgr3G102491;Mycgr3G77678;Mycgr3G106893;Mycgr3G54508;Mycgr3G69227;Mycgr3G107882;Mycgr3G65342;Mycgr3G99631;Mycgr3G87034;Mycgr3G73558;Mycgr3G100069;Mycgr3G75672;Mycgr3G91052;Mycgr3G74360;Mycgr3G98483;Mycgr3G11322;Mycgr3G107493;Mycgr3G72348;Mycgr3G91439;Mycgr3G72449;Mycgr3G36977;Mycgr3G103315;Mycgr3G56835;Mycgr3G68298;Mycgr3G84402;Mycgr3G73948;Mycgr3G60481;Mycgr3G38239;Mycgr3G99289;Mycgr3G60172;Mycgr3G68754;Mycgr3G46438;Mycgr3G41129;Mycgr3G65574;Mycgr3G108724;Mycgr3G69029;Mycgr3G73714;Mycgr3G67666;Mycgr3G50480;Mycgr3G34926;Mycgr3G93412;Mycgr3G32817;Mycgr3G99074;Mycgr3G110058;Mycgr3G111559;Mycgr3G81501;Mycgr3G104028;Mycgr3G83972;Mycgr3G19573;Mycgr3G77064;Mycgr3G75156;Mycgr3G102922;Mycgr3G69939;Mycgr3G85600;Mycgr3G30651;Mycgr3G101180;Mycgr3G73841;Mycgr3G88378;Mycgr3G87701;Mycgr3G110502;Mycgr3G40901;Mycgr3G20337;Mycgr3G107930;Mycgr3G92212;Mycgr3G110071;Mycgr3G74552;Mycgr3G99211;Mycgr3G111295;Mycgr3G99446;Mycgr3G98572;Mycgr3G107239;Mycgr3G75563;Mycgr3G101428;Mycgr3G87527;Mycgr3G19618;Mycgr3G100444;Mycgr3G101478;Mycgr3G109282;Mycgr3G71900;Mycgr3G65330;Mycgr3G100894;Mycgr3G57709;Mycgr3G104345;Mycgr3G43197;Mycgr3G107883;Mycgr3G73499;Mycgr3G103105",3.57710142640234e-30
"GO:0030684","preribosome","cellular_component",73,148,0.1825,4.29614864864865,5.72605292878791e-32,"Mycgr3G75505;Mycgr3G71784;Mycgr3G106893;Mycgr3G54508;Mycgr3G107882;Mycgr3G65342;Mycgr3G87034;Mycgr3G73558;Mycgr3G100069;Mycgr3G75672;Mycgr3G74360;Mycgr3G98483;Mycgr3G11322;Mycgr3G107493;Mycgr3G72348;Mycgr3G91439;Mycgr3G103315;Mycgr3G56835;Mycgr3G68298;Mycgr3G73948;Mycgr3G60481;Mycgr3G38239;Mycgr3G31987;Mycgr3G99289;Mycgr3G71923;Mycgr3G68754;Mycgr3G46438;Mycgr3G81123;Mycgr3G70984;Mycgr3G65574;Mycgr3G108724;Mycgr3G69029;Mycgr3G73714;Mycgr3G67666;Mycgr3G50480;Mycgr3G93412;Mycgr3G32817;Mycgr3G99074;Mycgr3G105388;Mycgr3G110058;Mycgr3G104028;Mycgr3G83972;Mycgr3G19573;Mycgr3G97226;Mycgr3G102922;Mycgr3G69939;Mycgr3G85600;Mycgr3G101180;Mycgr3G73841;Mycgr3G79121;Mycgr3G87701;Mycgr3G110502;Mycgr3G40901;Mycgr3G74695;Mycgr3G20337;Mycgr3G99211;Mycgr3G99446;Mycgr3G98572;Mycgr3G107239;Mycgr3G75563;Mycgr3G101428;Mycgr3G28602;Mycgr3G100444;Mycgr3G101478;Mycgr3G71900;Mycgr3G65330;Mycgr3G100894;Mycgr3G57709;Mycgr3G104345;Mycgr3G43197;Mycgr3G42271;Mycgr3G73499;Mycgr3G103105",3.2237677989076e-29
"GO:1990904","ribonucleoprotein complex","cellular_component",144,500,0.36,2.50848,1.32460217124394e-31,"Mycgr3G75505;Mycgr3G63336;Mycgr3G102491;Mycgr3G77678;Mycgr3G71784;Mycgr3G106893;Mycgr3G54508;Mycgr3G110909;Mycgr3G108146;Mycgr3G70061;Mycgr3G99975;Mycgr3G56466;Mycgr3G74048;Mycgr3G108627;Mycgr3G107882;Mycgr3G65342;Mycgr3G99631;Mycgr3G107402;Mycgr3G56782;Mycgr3G38812;Mycgr3G87034;Mycgr3G73558;Mycgr3G100069;Mycgr3G75672;Mycgr3G76608;Mycgr3G74360;Mycgr3G98483;Mycgr3G11322;Mycgr3G107493;Mycgr3G72348;Mycgr3G98177;Mycgr3G91439;Mycgr3G100450;Mycgr3G72449;Mycgr3G63945;Mycgr3G103315;Mycgr3G56835;Mycgr3G74038;Mycgr3G68298;Mycgr3G73948;Mycgr3G109538;Mycgr3G57670;Mycgr3G50825;Mycgr3G60481;Mycgr3G38239;Mycgr3G65878;Mycgr3G100974;Mycgr3G31987;Mycgr3G99289;Mycgr3G71923;Mycgr3G67218;Mycgr3G60172;Mycgr3G68754;Mycgr3G46438;Mycgr3G104063;Mycgr3G81123;Mycgr3G70984;Mycgr3G105646;Mycgr3G57452;Mycgr3G65574;Mycgr3G106548;Mycgr3G108724;Mycgr3G88201;Mycgr3G41112;Mycgr3G103191;Mycgr3G98830;Mycgr3G75916;Mycgr3G71918;Mycgr3G69029;Mycgr3G73714;Mycgr3G67666;Mycgr3G50480;Mycgr3G100728;Mycgr3G102281;Mycgr3G103824;Mycgr3G105463;Mycgr3G71753;Mycgr3G102881;Mycgr3G60583;Mycgr3G93412;Mycgr3G32817;Mycgr3G66791;Mycgr3G69118;Mycgr3G102737;Mycgr3G99074;Mycgr3G105388;Mycgr3G110058;Mycgr3G106407;Mycgr3G81501;Mycgr3G104028;Mycgr3G83972;Mycgr3G19573;Mycgr3G56362;Mycgr3G97226;Mycgr3G73399;Mycgr3G98298;Mycgr3G50274;Mycgr3G107571;Mycgr3G102922;Mycgr3G69939;Mycgr3G85600;Mycgr3G71536;Mycgr3G106995;Mycgr3G101180;Mycgr3G74671;Mycgr3G73841;Mycgr3G79121;Mycgr3G87701;Mycgr3G110502;Mycgr3G40901;Mycgr3G37793;Mycgr3G74695;Mycgr3G20337;Mycgr3G73209;Mycgr3G75170;Mycgr3G44089;Mycgr3G99211;Mycgr3G99446;Mycgr3G98572;Mycgr3G36576;Mycgr3G107239;Mycgr3G75563;Mycgr3G101428;Mycgr3G39611;Mycgr3G90353;Mycgr3G19618;Mycgr3G28602;Mycgr3G100444;Mycgr3G101478;Mycgr3G61986;Mycgr3G71900;Mycgr3G41185;Mycgr3G65330;Mycgr3G100894;Mycgr3G50844;Mycgr3G57709;Mycgr3G104345;Mycgr3G73745;Mycgr3G43197;Mycgr3G42271;Mycgr3G37496;Mycgr3G73499;Mycgr3G73598;Mycgr3G103105",6.21459185341949e-29
"GO:0016072","rRNA metabolic process","biological_process",91,225,0.2275,3.52271111111111,1.63938745418424e-31,"Mycgr3G75505;Mycgr3G102491;Mycgr3G77678;Mycgr3G106893;Mycgr3G54508;Mycgr3G69227;Mycgr3G107882;Mycgr3G65342;Mycgr3G99631;Mycgr3G87034;Mycgr3G73558;Mycgr3G100069;Mycgr3G75672;Mycgr3G91052;Mycgr3G74360;Mycgr3G98483;Mycgr3G11322;Mycgr3G107493;Mycgr3G72348;Mycgr3G91439;Mycgr3G72449;Mycgr3G36977;Mycgr3G103315;Mycgr3G56835;Mycgr3G68298;Mycgr3G84402;Mycgr3G73948;Mycgr3G60481;Mycgr3G38239;Mycgr3G99289;Mycgr3G60172;Mycgr3G68754;Mycgr3G46438;Mycgr3G41129;Mycgr3G65574;Mycgr3G108724;Mycgr3G73125;Mycgr3G69029;Mycgr3G73714;Mycgr3G67666;Mycgr3G50480;Mycgr3G34926;Mycgr3G93412;Mycgr3G32817;Mycgr3G99074;Mycgr3G110058;Mycgr3G111559;Mycgr3G81501;Mycgr3G104028;Mycgr3G83972;Mycgr3G19573;Mycgr3G77064;Mycgr3G75156;Mycgr3G102922;Mycgr3G69939;Mycgr3G85600;Mycgr3G30651;Mycgr3G101180;Mycgr3G73841;Mycgr3G88378;Mycgr3G87701;Mycgr3G110502;Mycgr3G107276;Mycgr3G40901;Mycgr3G20337;Mycgr3G107930;Mycgr3G92212;Mycgr3G71341;Mycgr3G110071;Mycgr3G74552;Mycgr3G99211;Mycgr3G111295;Mycgr3G99446;Mycgr3G98572;Mycgr3G107239;Mycgr3G75563;Mycgr3G101428;Mycgr3G87527;Mycgr3G19618;Mycgr3G100444;Mycgr3G101478;Mycgr3G109282;Mycgr3G71900;Mycgr3G65330;Mycgr3G100894;Mycgr3G57709;Mycgr3G104345;Mycgr3G43197;Mycgr3G107883;Mycgr3G73499;Mycgr3G103105",6.59267954789806e-29
"GO:0010467","gene expression","biological_process",204,896,0.51,1.98308035714286,4.59536495662708e-31,"Mycgr3G75505;Mycgr3G102491;Mycgr3G77678;Mycgr3G71784;Mycgr3G106893;Mycgr3G54508;Mycgr3G108146;Mycgr3G70061;Mycgr3G56466;Mycgr3G74048;Mycgr3G69227;Mycgr3G108627;Mycgr3G107882;Mycgr3G65342;Mycgr3G56278;Mycgr3G98465;Mycgr3G99631;Mycgr3G107402;Mycgr3G73758;Mycgr3G38812;Mycgr3G87034;Mycgr3G73558;Mycgr3G100069;Mycgr3G75139;Mycgr3G75672;Mycgr3G91052;Mycgr3G76608;Mycgr3G74360;Mycgr3G98483;Mycgr3G11322;Mycgr3G108776;Mycgr3G107493;Mycgr3G110811;Mycgr3G72348;Mycgr3G98177;Mycgr3G94085;Mycgr3G96640;Mycgr3G66037;Mycgr3G91439;Mycgr3G72449;Mycgr3G63945;Mycgr3G36977;Mycgr3G103315;Mycgr3G56835;Mycgr3G74038;Mycgr3G68298;Mycgr3G84402;Mycgr3G68512;Mycgr3G73948;Mycgr3G57670;Mycgr3G25695;Mycgr3G67912;Mycgr3G50825;Mycgr3G66670;Mycgr3G60481;Mycgr3G98268;Mycgr3G69290;Mycgr3G42169;Mycgr3G38239;Mycgr3G65878;Mycgr3G100974;Mycgr3G39112;Mycgr3G31987;Mycgr3G99289;Mycgr3G67218;Mycgr3G60172;Mycgr3G68754;Mycgr3G63707;Mycgr3G46438;Mycgr3G104063;Mycgr3G81123;Mycgr3G105646;Mycgr3G101464;Mycgr3G41129;Mycgr3G100306;Mycgr3G27852;Mycgr3G57452;Mycgr3G67635;Mycgr3G65574;Mycgr3G76076;Mycgr3G106548;Mycgr3G108724;Mycgr3G88201;Mycgr3G41112;Mycgr3G73125;Mycgr3G103191;Mycgr3G50692;Mycgr3G98830;Mycgr3G75916;Mycgr3G71918;Mycgr3G69029;Mycgr3G73714;Mycgr3G67666;Mycgr3G50480;Mycgr3G100728;Mycgr3G34926;Mycgr3G102281;Mycgr3G103824;Mycgr3G105463;Mycgr3G52269;Mycgr3G71753;Mycgr3G102881;Mycgr3G60583;Mycgr3G93412;Mycgr3G95018;Mycgr3G32817;Mycgr3G66791;Mycgr3G69118;Mycgr3G102737;Mycgr3G99074;Mycgr3G98959;Mycgr3G105388;Mycgr3G110058;Mycgr3G89011;Mycgr3G106407;Mycgr3G111559;Mycgr3G81501;Mycgr3G109995;Mycgr3G104028;Mycgr3G83972;Mycgr3G68887;Mycgr3G19573;Mycgr3G56362;Mycgr3G107183;Mycgr3G77064;Mycgr3G73399;Mycgr3G67486;Mycgr3G73484;Mycgr3G98298;Mycgr3G50274;Mycgr3G107571;Mycgr3G75156;Mycgr3G102922;Mycgr3G66934;Mycgr3G100443;Mycgr3G43980;Mycgr3G69939;Mycgr3G76469;Mycgr3G85600;Mycgr3G71536;Mycgr3G30651;Mycgr3G101180;Mycgr3G106853;Mycgr3G85032;Mycgr3G74671;Mycgr3G73841;Mycgr3G88378;Mycgr3G87701;Mycgr3G55565;Mycgr3G110502;Mycgr3G40901;Mycgr3G67073;Mycgr3G76890;Mycgr3G64857;Mycgr3G20337;Mycgr3G107930;Mycgr3G92212;Mycgr3G71341;Mycgr3G90455;Mycgr3G110071;Mycgr3G75170;Mycgr3G73600;Mycgr3G74552;Mycgr3G70159;Mycgr3G109462;Mycgr3G67576;Mycgr3G44089;Mycgr3G99211;Mycgr3G111295;Mycgr3G99446;Mycgr3G98572;Mycgr3G36576;Mycgr3G107239;Mycgr3G75563;Mycgr3G110099;Mycgr3G101428;Mycgr3G39611;Mycgr3G87527;Mycgr3G90353;Mycgr3G19618;Mycgr3G28602;Mycgr3G89963;Mycgr3G100444;Mycgr3G101478;Mycgr3G61986;Mycgr3G109282;Mycgr3G71900;Mycgr3G41185;Mycgr3G65330;Mycgr3G36290;Mycgr3G100894;Mycgr3G66788;Mycgr3G50844;Mycgr3G57709;Mycgr3G104345;Mycgr3G43197;Mycgr3G65866;Mycgr3G42271;Mycgr3G107883;Mycgr3G37496;Mycgr3G73499;Mycgr3G73598;Mycgr3G43124;Mycgr3G103105",1.61699404411315e-28
"GO:0006396","RNA processing","biological_process",133,454,0.3325,2.55160792951542,1.15257128630953e-29,"Mycgr3G75505;Mycgr3G102491;Mycgr3G77678;Mycgr3G106893;Mycgr3G54508;Mycgr3G69227;Mycgr3G107882;Mycgr3G65342;Mycgr3G98465;Mycgr3G99631;Mycgr3G73758;Mycgr3G38812;Mycgr3G87034;Mycgr3G73558;Mycgr3G100069;Mycgr3G75672;Mycgr3G91052;Mycgr3G74360;Mycgr3G98483;Mycgr3G11322;Mycgr3G107493;Mycgr3G110811;Mycgr3G72348;Mycgr3G98177;Mycgr3G94085;Mycgr3G91439;Mycgr3G72449;Mycgr3G36977;Mycgr3G103315;Mycgr3G56835;Mycgr3G74038;Mycgr3G68298;Mycgr3G84402;Mycgr3G73948;Mycgr3G25695;Mycgr3G60481;Mycgr3G69290;Mycgr3G42169;Mycgr3G38239;Mycgr3G99289;Mycgr3G67218;Mycgr3G60172;Mycgr3G68754;Mycgr3G46438;Mycgr3G41129;Mycgr3G57452;Mycgr3G65574;Mycgr3G76076;Mycgr3G108724;Mycgr3G41112;Mycgr3G75916;Mycgr3G71918;Mycgr3G69029;Mycgr3G73714;Mycgr3G67666;Mycgr3G50480;Mycgr3G100728;Mycgr3G34926;Mycgr3G52269;Mycgr3G71753;Mycgr3G93412;Mycgr3G95018;Mycgr3G32817;Mycgr3G66791;Mycgr3G69118;Mycgr3G99074;Mycgr3G110058;Mycgr3G111559;Mycgr3G81501;Mycgr3G109995;Mycgr3G104028;Mycgr3G83972;Mycgr3G19573;Mycgr3G56362;Mycgr3G107183;Mycgr3G77064;Mycgr3G67486;Mycgr3G73484;Mycgr3G75156;Mycgr3G102922;Mycgr3G100443;Mycgr3G69939;Mycgr3G85600;Mycgr3G71536;Mycgr3G30651;Mycgr3G101180;Mycgr3G106853;Mycgr3G74671;Mycgr3G73841;Mycgr3G88378;Mycgr3G87701;Mycgr3G55565;Mycgr3G110502;Mycgr3G40901;Mycgr3G76890;Mycgr3G20337;Mycgr3G107930;Mycgr3G92212;Mycgr3G110071;Mycgr3G74552;Mycgr3G44089;Mycgr3G99211;Mycgr3G111295;Mycgr3G99446;Mycgr3G98572;Mycgr3G36576;Mycgr3G107239;Mycgr3G75563;Mycgr3G110099;Mycgr3G101428;Mycgr3G39611;Mycgr3G87527;Mycgr3G19618;Mycgr3G100444;Mycgr3G101478;Mycgr3G61986;Mycgr3G109282;Mycgr3G71900;Mycgr3G41185;Mycgr3G65330;Mycgr3G36290;Mycgr3G100894;Mycgr3G66788;Mycgr3G50844;Mycgr3G57709;Mycgr3G104345;Mycgr3G43197;Mycgr3G65866;Mycgr3G107883;Mycgr3G73499;Mycgr3G73598;Mycgr3G43124;Mycgr3G103105",3.60498685662369e-27
"GO:0034470","","",103,302,0.2575,2.97062913907285,2.09895117013968e-28,"Mycgr3G75505;Mycgr3G102491;Mycgr3G77678;Mycgr3G106893;Mycgr3G54508;Mycgr3G69227;Mycgr3G107882;Mycgr3G65342;Mycgr3G98465;Mycgr3G99631;Mycgr3G73758;Mycgr3G87034;Mycgr3G73558;Mycgr3G100069;Mycgr3G75672;Mycgr3G91052;Mycgr3G74360;Mycgr3G98483;Mycgr3G11322;Mycgr3G107493;Mycgr3G110811;Mycgr3G72348;Mycgr3G94085;Mycgr3G91439;Mycgr3G72449;Mycgr3G36977;Mycgr3G103315;Mycgr3G56835;Mycgr3G68298;Mycgr3G84402;Mycgr3G73948;Mycgr3G25695;Mycgr3G60481;Mycgr3G69290;Mycgr3G42169;Mycgr3G38239;Mycgr3G99289;Mycgr3G60172;Mycgr3G68754;Mycgr3G46438;Mycgr3G41129;Mycgr3G65574;Mycgr3G108724;Mycgr3G69029;Mycgr3G73714;Mycgr3G67666;Mycgr3G50480;Mycgr3G34926;Mycgr3G52269;Mycgr3G93412;Mycgr3G95018;Mycgr3G32817;Mycgr3G99074;Mycgr3G110058;Mycgr3G111559;Mycgr3G81501;Mycgr3G104028;Mycgr3G83972;Mycgr3G19573;Mycgr3G107183;Mycgr3G77064;Mycgr3G67486;Mycgr3G75156;Mycgr3G102922;Mycgr3G100443;Mycgr3G69939;Mycgr3G85600;Mycgr3G30651;Mycgr3G101180;Mycgr3G73841;Mycgr3G88378;Mycgr3G87701;Mycgr3G55565;Mycgr3G110502;Mycgr3G40901;Mycgr3G20337;Mycgr3G107930;Mycgr3G92212;Mycgr3G110071;Mycgr3G74552;Mycgr3G99211;Mycgr3G111295;Mycgr3G99446;Mycgr3G98572;Mycgr3G107239;Mycgr3G75563;Mycgr3G101428;Mycgr3G87527;Mycgr3G19618;Mycgr3G100444;Mycgr3G101478;Mycgr3G109282;Mycgr3G71900;Mycgr3G65330;Mycgr3G100894;Mycgr3G57709;Mycgr3G104345;Mycgr3G43197;Mycgr3G65866;Mycgr3G107883;Mycgr3G73499;Mycgr3G43124;Mycgr3G103105",5.90854754394319e-26
