"term","name","namespace","n_sig","n_bg","gene_ratio","enrichment","pvalue","genes","padj"
"GO:0046943","carboxylic acid transmembrane transporter activity","molecular_function",9,52,0.0703125,4.95567908653846,6.01195940682605e-05,"Mycgr3G48576;Mycgr3G100203;Mycgr3G76149;Mycgr3G104789;Mycgr3G54914;Mycgr3G49627;Mycgr3G56657;Mycgr3G47254;Mycgr3G22571",0.0541473696211968
"GO:1905039","carboxylic acid transmembrane transport","biological_process",9,54,0.0703125,4.77213541666667,8.19039130974549e-05,"Mycgr3G48576;Mycgr3G100203;Mycgr3G76149;Mycgr3G104789;Mycgr3G54914;Mycgr3G49627;Mycgr3G56657;Mycgr3G47254;Mycgr3G22571",0.0541473696211968
"GO:0005342","","",9,55,0.0703125,4.68536931818182,9.50723779868816e-05,"Mycgr3G48576;Mycgr3G100203;Mycgr3G76149;Mycgr3G104789;Mycgr3G54914;Mycgr3G49627;Mycgr3G56657;Mycgr3G47254;Mycgr3G22571",0.0541473696211968
"GO:1903825","","",9,57,0.0703125,4.52097039473684,0.000126786643961086,"Mycgr3G48576;Mycgr3G100203;Mycgr3G76149;Mycgr3G104789;Mycgr3G54914;Mycgr3G49627;Mycgr3G56657;Mycgr3G47254;Mycgr3G22571",0.0541473696211968
"GO:0005975","carbohydrate metabolic process","biological_process",16,168,0.125,2.72693452380952,0.000194504473480753,"Mycgr3G102047;Mycgr3G109621;Mycgr3G65104;Mycgr3G74599;Mycgr3G64098;Mycgr3G68483;Mycgr3G75460;Mycgr3G43729;Mycgr3G33386;Mycgr3G102083;Mycgr3G68922;Mycgr3G69330;Mycgr3G69907;Mycgr3G44498;Mycgr3G83548;Mycgr3G48347",0.0541473696211968
"GO:0031225","","",5,17,0.0390625,8.42141544117647,0.000212104973334291,"Mycgr3G102047;Mycgr3G75460;Mycgr3G47912;Mycgr3G33386;Mycgr3G69907",0.0541473696211968
"GO:0046658","","",5,17,0.0390625,8.42141544117647,0.000212104973334291,"Mycgr3G102047;Mycgr3G75460;Mycgr3G47912;Mycgr3G33386;Mycgr3G69907",0.0541473696211968
"GO:0008514","","",9,63,0.0703125,4.09040178571429,0.000279312994922334,"Mycgr3G48576;Mycgr3G100203;Mycgr3G76149;Mycgr3G104789;Mycgr3G54914;Mycgr3G49627;Mycgr3G56657;Mycgr3G47254;Mycgr3G22571",0.0554591468806902
"GO:0046942","carboxylic acid transport","biological_process",9,63,0.0703125,4.09040178571429,0.000279312994922334,"Mycgr3G48576;Mycgr3G100203;Mycgr3G76149;Mycgr3G104789;Mycgr3G54914;Mycgr3G49627;Mycgr3G56657;Mycgr3G47254;Mycgr3G22571",0.0554591468806902
"GO:0006577","","",3,5,0.0234375,17.1796875,0.000395375046621677,"Mycgr3G101446;Mycgr3G98380;Mycgr3G75935",0.0649425965022918
"GO:0015849","","",9,66,0.0703125,3.90447443181818,0.000399758568284953,"Mycgr3G48576;Mycgr3G100203;Mycgr3G76149;Mycgr3G104789;Mycgr3G54914;Mycgr3G49627;Mycgr3G56657;Mycgr3G47254;Mycgr3G22571",0.0649425965022918
"GO:0031226","","",10,85,0.078125,3.36856617647059,0.000640596631420723,"Mycgr3G38161;Mycgr3G102047;Mycgr3G71484;Mycgr3G75460;Mycgr3G73144;Mycgr3G47912;Mycgr3G33386;Mycgr3G109666;Mycgr3G69907;Mycgr3G47254",0.0953955150290693
"GO:0006855","","",7,46,0.0546875,4.35716711956522,0.00092390396840316,"Mycgr3G100203;Mycgr3G50464;Mycgr3G76149;Mycgr3G54914;Mycgr3G49627;Mycgr3G56657;Mycgr3G47254",0.112289738474025
"GO:0005618","cell wall","cellular_component",9,74,0.0703125,3.48236908783784,0.000942555163464113,"Mycgr3G102047;Mycgr3G109621;Mycgr3G75460;Mycgr3G47912;Mycgr3G88691;Mycgr3G69330;Mycgr3G69907;Mycgr3G38790;Mycgr3G72768",0.112289738474025
"GO:0030312","","",9,74,0.0703125,3.48236908783784,0.000942555163464113,"Mycgr3G102047;Mycgr3G109621;Mycgr3G75460;Mycgr3G47912;Mycgr3G88691;Mycgr3G69330;Mycgr3G69907;Mycgr3G38790;Mycgr3G72768",0.112289738474025
"GO:0008509","monoatomic anion transmembrane transporter activity","molecular_function",9,76,0.0703125,3.39072779605263,0.0011453592796938,"Mycgr3G48576;Mycgr3G100203;Mycgr3G76149;Mycgr3G104789;Mycgr3G54914;Mycgr3G49627;Mycgr3G56657;Mycgr3G47254;Mycgr3G22571",0.118123191171941
"GO:0016829","lyase activity","molecular_function",9,77,0.0703125,3.34669237012987,0.00125926389585036,"Mycgr3G89119;Mycgr3G98380;Mycgr3G26468;Mycgr3G33257;Mycgr3G70646;Mycgr3G109538;Mycgr3G102083;Mycgr3G30146;Mycgr3G44322",0.118123191171941
"GO:0006595","","",3,7,0.0234375,12.2712053571429,0.00131413287657396,"Mycgr3G76256;Mycgr3G44322;Mycgr3G67048",0.118123191171941
"GO:0009098","L-leucine biosynthetic process","biological_process",3,7,0.0234375,12.2712053571429,0.00131413287657396,"Mycgr3G26468;Mycgr3G109538;Mycgr3G43729",0.118123191171941
"GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds","molecular_function",7,49,0.0546875,4.09040178571429,0.00135911921423863,"Mycgr3G100854;Mycgr3G33386;Mycgr3G68922;Mycgr3G69330;Mycgr3G69907;Mycgr3G44498;Mycgr3G48347",0.118123191171941
"GO:0015171","amino acid transmembrane transporter activity","molecular_function",5,25,0.0390625,5.7265625,0.00145423066915652,"Mycgr3G48576;Mycgr3G100203;Mycgr3G104789;Mycgr3G47254;Mycgr3G22571",0.118123191171941
"GO:0016830","carbon-carbon lyase activity","molecular_function",5,25,0.0390625,5.7265625,0.00145423066915652,"Mycgr3G89119;Mycgr3G26468;Mycgr3G70646;Mycgr3G102083;Mycgr3G44322",0.118123191171941
"GO:0003333","amino acid transmembrane transport","biological_process",5,26,0.0390625,5.50631009615385,0.00175070400277896,"Mycgr3G48576;Mycgr3G100203;Mycgr3G104789;Mycgr3G47254;Mycgr3G22571",0.136022089259392
"GO:0042398","","",5,27,0.0390625,5.30237268518519,0.00208923864349481,"Mycgr3G111248;Mycgr3G98380;Mycgr3G75935;Mycgr3G26468;Mycgr3G44322",0.155561227330218
"GO:0010501","","",5,29,0.0390625,4.93669181034483,0.00290603212305677,"Mycgr3G75420;Mycgr3G74526;Mycgr3G65342;Mycgr3G54822;Mycgr3G109102",0.190332800003855
