"term","name","namespace","n_sig","n_bg","gene_ratio","enrichment","pvalue","genes","padj"
"map03008","Ribosome biogenesis in eukaryotes","",21,70,0.0693069306930693,2.51881188118812,3.18065704955626e-05,"Mycgr3G106893;Mycgr3G33739;Mycgr3G107882;Mycgr3G75672;Mycgr3G98483;Mycgr3G91439;Mycgr3G72348;Mycgr3G60481;Mycgr3G71923;Mycgr3G68298;Mycgr3G46438;Mycgr3G65574;Mycgr3G73714;Mycgr3G50480;Mycgr3G108252;Mycgr3G93412;Mycgr3G19573;Mycgr3G20337;Mycgr3G100894;Mycgr3G100162;Mycgr3G101428",0.00715647836150159
"map01120","Microbial metabolism in diverse environments","",51,261,0.168316831683168,1.64060543985433,0.000112880786412598,"Mycgr3G68234;Mycgr3G106055;Mycgr3G110909;Mycgr3G87443;Mycgr3G69055;Mycgr3G110982;Mycgr3G32667;Mycgr3G54399;Mycgr3G107202;Mycgr3G100120;Mycgr3G84797;Mycgr3G98857;Mycgr3G76530;Mycgr3G100958;Mycgr3G73819;Mycgr3G53658;Mycgr3G68535;Mycgr3G41900;Mycgr3G88803;Mycgr3G69862;Mycgr3G54449;Mycgr3G104169;Mycgr3G76425;Mycgr3G67342;Mycgr3G43103;Mycgr3G108333;Mycgr3G70343;Mycgr3G74581;Mycgr3G75791;Mycgr3G71361;Mycgr3G110012;Mycgr3G88201;Mycgr3G70045;Mycgr3G41337;Mycgr3G109704;Mycgr3G74146;Mycgr3G48122;Mycgr3G74561;Mycgr3G16314;Mycgr3G41530;Mycgr3G85598;Mycgr3G102083;Mycgr3G31826;Mycgr3G72635;Mycgr3G97358;Mycgr3G111077;Mycgr3G60749;Mycgr3G72883;Mycgr3G109769;Mycgr3G70271;Mycgr3G100271",0.0117372002801544
"map04932","Non-alcoholic fatty liver disease","",17,56,0.0561056105610561,2.54879773691655,0.000156496003735391,"Mycgr3G60824;Mycgr3G100120;Mycgr3G53658;Mycgr3G104956;Mycgr3G73335;Mycgr3G99175;Mycgr3G108469;Mycgr3G99503;Mycgr3G75376;Mycgr3G76293;Mycgr3G101464;Mycgr3G101715;Mycgr3G74581;Mycgr3G76276;Mycgr3G110313;Mycgr3G66030;Mycgr3G74146",0.0117372002801544
"map05012","Parkinson disease","",19,69,0.0627062706270627,2.31195293442388,0.000270709662777866,"Mycgr3G60824;Mycgr3G100120;Mycgr3G53658;Mycgr3G104956;Mycgr3G73335;Mycgr3G99175;Mycgr3G108469;Mycgr3G99503;Mycgr3G75376;Mycgr3G76293;Mycgr3G74909;Mycgr3G101464;Mycgr3G101715;Mycgr3G74581;Mycgr3G76276;Mycgr3G110313;Mycgr3G103595;Mycgr3G66030;Mycgr3G74146",0.0152274185312549
"map03040","Spliceosome","",23,93,0.0759075907590759,2.07643990205472,0.000358705202055818,"Mycgr3G75505;Mycgr3G38812;Mycgr3G75672;Mycgr3G94085;Mycgr3G74038;Mycgr3G98177;Mycgr3G72449;Mycgr3G36977;Mycgr3G67218;Mycgr3G75916;Mycgr3G66791;Mycgr3G57452;Mycgr3G41112;Mycgr3G56362;Mycgr3G69118;Mycgr3G71753;Mycgr3G111295;Mycgr3G101997;Mycgr3G71536;Mycgr3G74671;Mycgr3G110099;Mycgr3G19618;Mycgr3G50844",0.0161417340925118
"map05016","Huntington disease","",21,86,0.0693069306930693,2.05019571724614,0.000777757492437979,"Mycgr3G66122;Mycgr3G107063;Mycgr3G60824;Mycgr3G100120;Mycgr3G53658;Mycgr3G104956;Mycgr3G73335;Mycgr3G99175;Mycgr3G108469;Mycgr3G99503;Mycgr3G75376;Mycgr3G76293;Mycgr3G101464;Mycgr3G101715;Mycgr3G74581;Mycgr3G76276;Mycgr3G110313;Mycgr3G103595;Mycgr3G66030;Mycgr3G74146;Mycgr3G43980",0.0271481888488138
"map03010","Ribosome","",26,117,0.0858085808580858,1.86578657865787,0.00089810346478122,"Mycgr3G100974;Mycgr3G81123;Mycgr3G108724;Mycgr3G102281;Mycgr3G104063;Mycgr3G60172;Mycgr3G105646;Mycgr3G50825;Mycgr3G106548;Mycgr3G103191;Mycgr3G50274;Mycgr3G102881;Mycgr3G103824;Mycgr3G106407;Mycgr3G104028;Mycgr3G60583;Mycgr3G105388;Mycgr3G105463;Mycgr3G102737;Mycgr3G81501;Mycgr3G53300;Mycgr3G102922;Mycgr3G28602;Mycgr3G73399;Mycgr3G34783;Mycgr3G72927",0.0271481888488138
"map05010","Alzheimer disease","",18,70,0.0594059405940594,2.15898161244696,0.000965268936846714,"Mycgr3G60824;Mycgr3G100120;Mycgr3G53658;Mycgr3G104956;Mycgr3G73335;Mycgr3G99175;Mycgr3G108469;Mycgr3G99503;Mycgr3G75376;Mycgr3G76293;Mycgr3G101464;Mycgr3G101715;Mycgr3G74581;Mycgr3G76276;Mycgr3G110313;Mycgr3G103595;Mycgr3G66030;Mycgr3G74146",0.0271481888488138
"map00680","Methane metabolism","",10,29,0.033003300330033,2.89518607033117,0.00123985758246709,"Mycgr3G87443;Mycgr3G54399;Mycgr3G107202;Mycgr3G76530;Mycgr3G41900;Mycgr3G88803;Mycgr3G54449;Mycgr3G76425;Mycgr3G110012;Mycgr3G72883",0.0309964395616772
"map04260","Cardiac muscle contraction","",7,17,0.0231023102310231,3.45719277810134,0.00213516482858536,"Mycgr3G60824;Mycgr3G108469;Mycgr3G75376;Mycgr3G76293;Mycgr3G101464;Mycgr3G70478;Mycgr3G66030",0.0480412086431705
