"term","name","namespace","n_sig","n_bg","gene_ratio","enrichment","pvalue","genes","padj"
"map03008","Ribosome biogenesis in eukaryotes","",22,69,0.079136690647482,2.73881764153894,4.52635798210765e-06,"Mycgr3G106893;Mycgr3G107882;Mycgr3G33739;Mycgr3G75672;Mycgr3G98483;Mycgr3G72348;Mycgr3G91439;Mycgr3G68298;Mycgr3G60481;Mycgr3G71923;Mycgr3G46438;Mycgr3G65574;Mycgr3G73714;Mycgr3G50480;Mycgr3G108252;Mycgr3G93412;Mycgr3G19573;Mycgr3G20337;Mycgr3G101428;Mycgr3G100444;Mycgr3G100894;Mycgr3G42271",0.00117232671736588
"map04932","Non-alcoholic fatty liver disease","",17,53,0.0611510791366906,2.75525994298901,5.29492317143087e-05,"Mycgr3G100120;Mycgr3G60824;Mycgr3G53658;Mycgr3G104956;Mycgr3G73335;Mycgr3G99175;Mycgr3G108469;Mycgr3G99503;Mycgr3G75376;Mycgr3G101715;Mycgr3G76293;Mycgr3G74581;Mycgr3G101464;Mycgr3G110313;Mycgr3G76276;Mycgr3G66030;Mycgr3G74146",0.00685692550700297
"map05012","Parkinson disease","",19,65,0.0683453237410072,2.5109020475927,8.11588612616447e-05,"Mycgr3G100120;Mycgr3G60824;Mycgr3G53658;Mycgr3G104956;Mycgr3G73335;Mycgr3G99175;Mycgr3G108469;Mycgr3G99503;Mycgr3G74909;Mycgr3G75376;Mycgr3G101715;Mycgr3G76293;Mycgr3G74581;Mycgr3G101464;Mycgr3G110313;Mycgr3G76276;Mycgr3G66030;Mycgr3G103595;Mycgr3G74146",0.00700671502225533
"map03040","Spliceosome","",23,91,0.0827338129496403,2.17108071784331,0.000175391934752832,"Mycgr3G75505;Mycgr3G38812;Mycgr3G75672;Mycgr3G98177;Mycgr3G94085;Mycgr3G72449;Mycgr3G36977;Mycgr3G74038;Mycgr3G67218;Mycgr3G57452;Mycgr3G41112;Mycgr3G75916;Mycgr3G71753;Mycgr3G66791;Mycgr3G69118;Mycgr3G56362;Mycgr3G71536;Mycgr3G74671;Mycgr3G111295;Mycgr3G110099;Mycgr3G19618;Mycgr3G50844;Mycgr3G73598",0.0113566277752459
"map05016","Huntington disease","",21,81,0.0755395683453237,2.22701838529177,0.000230470196176885,"Mycgr3G66122;Mycgr3G107063;Mycgr3G100120;Mycgr3G60824;Mycgr3G53658;Mycgr3G104956;Mycgr3G73335;Mycgr3G99175;Mycgr3G108469;Mycgr3G99503;Mycgr3G75376;Mycgr3G101715;Mycgr3G76293;Mycgr3G74581;Mycgr3G101464;Mycgr3G110313;Mycgr3G76276;Mycgr3G66030;Mycgr3G103595;Mycgr3G43980;Mycgr3G74146",0.0115888131506617
"map05010","Alzheimer disease","",18,65,0.0647482014388489,2.37874930824571,0.000268466713914943,"Mycgr3G100120;Mycgr3G60824;Mycgr3G53658;Mycgr3G104956;Mycgr3G73335;Mycgr3G99175;Mycgr3G108469;Mycgr3G99503;Mycgr3G75376;Mycgr3G101715;Mycgr3G76293;Mycgr3G74581;Mycgr3G101464;Mycgr3G110313;Mycgr3G76276;Mycgr3G66030;Mycgr3G103595;Mycgr3G74146",0.0115888131506617
"map04260","Cardiac muscle contraction","",7,16,0.0251798561151079,3.75809352517986,0.00121273761952342,"Mycgr3G60824;Mycgr3G108469;Mycgr3G75376;Mycgr3G76293;Mycgr3G101464;Mycgr3G70478;Mycgr3G66030",0.0424383736081661
"map03010","Ribosome","",25,117,0.0899280575539568,1.83545471315255,0.00143975527043101,"Mycgr3G50825;Mycgr3G100974;Mycgr3G60172;Mycgr3G104063;Mycgr3G81123;Mycgr3G105646;Mycgr3G106548;Mycgr3G108724;Mycgr3G103191;Mycgr3G102281;Mycgr3G103824;Mycgr3G105463;Mycgr3G102881;Mycgr3G60583;Mycgr3G102737;Mycgr3G105388;Mycgr3G106407;Mycgr3G81501;Mycgr3G104028;Mycgr3G53300;Mycgr3G73399;Mycgr3G50274;Mycgr3G102922;Mycgr3G72927;Mycgr3G28602",0.0424383736081661
"map00190","Oxidative phosphorylation","",19,80,0.0683453237410072,2.04010791366907,0.00147469251920268,"Mycgr3G60824;Mycgr3G53658;Mycgr3G104956;Mycgr3G73335;Mycgr3G99175;Mycgr3G108469;Mycgr3G99503;Mycgr3G75376;Mycgr3G59052;Mycgr3G101715;Mycgr3G76293;Mycgr3G74581;Mycgr3G101464;Mycgr3G110313;Mycgr3G70478;Mycgr3G76276;Mycgr3G66030;Mycgr3G103595;Mycgr3G74146",0.0424383736081661
"map01120","Microbial metabolism in diverse environments","",43,243,0.154676258992806,1.52002842170708,0.00212013067840347,"Mycgr3G68234;Mycgr3G106055;Mycgr3G110909;Mycgr3G87443;Mycgr3G110982;Mycgr3G69055;Mycgr3G32667;Mycgr3G107202;Mycgr3G100120;Mycgr3G76530;Mycgr3G53658;Mycgr3G68535;Mycgr3G54449;Mycgr3G104169;Mycgr3G54399;Mycgr3G43103;Mycgr3G73819;Mycgr3G69862;Mycgr3G74581;Mycgr3G88201;Mycgr3G88803;Mycgr3G70045;Mycgr3G109704;Mycgr3G110012;Mycgr3G74146;Mycgr3G41900;Mycgr3G72635;Mycgr3G41337;Mycgr3G74561;Mycgr3G85598;Mycgr3G60749;Mycgr3G109769;Mycgr3G111077;Mycgr3G70497;Mycgr3G100958;Mycgr3G76425;Mycgr3G100271;Mycgr3G32609;Mycgr3G70343;Mycgr3G41530;Mycgr3G98857;Mycgr3G31826;Mycgr3G97358",0.05491138457065
