"term","name","namespace","n_sig","n_bg","gene_ratio","enrichment","pvalue","genes","padj"
"map03010","Ribosome","",85,117,0.152877697841727,3.32410994281498,2.14062058400264e-33,"Mycgr3G103449;Mycgr3G108724;Mycgr3G104063;Mycgr3G100974;Mycgr3G105388;Mycgr3G81123;Mycgr3G102281;Mycgr3G102197;Mycgr3G60172;Mycgr3G106407;Mycgr3G105557;Mycgr3G103824;Mycgr3G88095;Mycgr3G106548;Mycgr3G105646;Mycgr3G102365;Mycgr3G104916;Mycgr3G60583;Mycgr3G103683;Mycgr3G103191;Mycgr3G102848;Mycgr3G104028;Mycgr3G106489;Mycgr3G102737;Mycgr3G59963;Mycgr3G102881;Mycgr3G19110;Mycgr3G102922;Mycgr3G104360;Mycgr3G34437;Mycgr3G106533;Mycgr3G102005;Mycgr3G104155;Mycgr3G106485;Mycgr3G98180;Mycgr3G81501;Mycgr3G67867;Mycgr3G74418;Mycgr3G103329;Mycgr3G102406;Mycgr3G83768;Mycgr3G82510;Mycgr3G105216;Mycgr3G104624;Mycgr3G80995;Mycgr3G42422;Mycgr3G104912;Mycgr3G102027;Mycgr3G53300;Mycgr3G98880;Mycgr3G73399;Mycgr3G101774;Mycgr3G105463;Mycgr3G74750;Mycgr3G99159;Mycgr3G80478;Mycgr3G60694;Mycgr3G101782;Mycgr3G67117;Mycgr3G102740;Mycgr3G64763;Mycgr3G106114;Mycgr3G103339;Mycgr3G55708;Mycgr3G104664;Mycgr3G70471;Mycgr3G74955;Mycgr3G50825;Mycgr3G103406;Mycgr3G74429;Mycgr3G104371;Mycgr3G104898;Mycgr3G105843;Mycgr3G78124;Mycgr3G31968;Mycgr3G103162;Mycgr3G85212;Mycgr3G78410;Mycgr3G74659;Mycgr3G18344;Mycgr3G72927;Mycgr3G75116;Mycgr3G107068;Mycgr3G28602;Mycgr3G50274",6.20779969360765e-31
"map03008","Ribosome biogenesis in eukaryotes","",30,70,0.0539568345323741,1.96094552929085,5.29570053659817e-05,"Mycgr3G106893;Mycgr3G77007;Mycgr3G75672;Mycgr3G33739;Mycgr3G99193;Mycgr3G107882;Mycgr3G98483;Mycgr3G68298;Mycgr3G72348;Mycgr3G71923;Mycgr3G74715;Mycgr3G91439;Mycgr3G93412;Mycgr3G20337;Mycgr3G65574;Mycgr3G73714;Mycgr3G100444;Mycgr3G46438;Mycgr3G50480;Mycgr3G100894;Mycgr3G66663;Mycgr3G31414;Mycgr3G72396;Mycgr3G19573;Mycgr3G101428;Mycgr3G99387;Mycgr3G72059;Mycgr3G63935;Mycgr3G42271;Mycgr3G100162",0.00767876577806735
"map03020","RNA polymerase","",15,27,0.026978417266187,2.54196642685851,0.000128050329276629,"Mycgr3G109462;Mycgr3G109020;Mycgr3G43980;Mycgr3G31431;Mycgr3G76469;Mycgr3G69782;Mycgr3G73125;Mycgr3G94196;Mycgr3G47713;Mycgr3G45952;Mycgr3G84794;Mycgr3G24629;Mycgr3G64857;Mycgr3G110672;Mycgr3G108254",0.0123781984967408
"map03040","Spliceosome","",35,93,0.0629496402877698,1.72197725690415,0.000307629530511949,"Mycgr3G75505;Mycgr3G72449;Mycgr3G75672;Mycgr3G74038;Mycgr3G36977;Mycgr3G98177;Mycgr3G75738;Mycgr3G75892;Mycgr3G38812;Mycgr3G41112;Mycgr3G104368;Mycgr3G101457;Mycgr3G99129;Mycgr3G57452;Mycgr3G107593;Mycgr3G83408;Mycgr3G78925;Mycgr3G74671;Mycgr3G48162;Mycgr3G67218;Mycgr3G100024;Mycgr3G66791;Mycgr3G71536;Mycgr3G19618;Mycgr3G36580;Mycgr3G71753;Mycgr3G56362;Mycgr3G69118;Mycgr3G50844;Mycgr3G94085;Mycgr3G75916;Mycgr3G72117;Mycgr3G101997;Mycgr3G111295;Mycgr3G110099",0.0223031409621163
"map04623","Cytosolic DNA-sensing pathway","",10,16,0.0179856115107914,2.85971223021583,0.00050836372773813,"Mycgr3G109462;Mycgr3G43980;Mycgr3G31431;Mycgr3G76469;Mycgr3G47713;Mycgr3G45952;Mycgr3G84794;Mycgr3G64857;Mycgr3G110672;Mycgr3G108254",0.0294850962088116
"map00240","Pyrimidine metabolism","",27,71,0.0485611510791367,1.73999392035667,0.0012454094906939,"Mycgr3G69768;Mycgr3G109462;Mycgr3G109020;Mycgr3G43980;Mycgr3G72564;Mycgr3G95071;Mycgr3G31431;Mycgr3G76469;Mycgr3G69782;Mycgr3G73125;Mycgr3G110798;Mycgr3G94196;Mycgr3G59391;Mycgr3G47713;Mycgr3G45952;Mycgr3G84794;Mycgr3G24629;Mycgr3G64857;Mycgr3G86308;Mycgr3G53893;Mycgr3G110672;Mycgr3G71246;Mycgr3G108254;Mycgr3G47115;Mycgr3G91224;Mycgr3G99627;Mycgr3G45051",0.060194792050205
"map04932","Non-alcoholic fatty liver disease","",22,56,0.039568345323741,1.79753340184995,0.00214395401985475,"Mycgr3G108469;Mycgr3G60824;Mycgr3G100120;Mycgr3G99175;Mycgr3G101464;Mycgr3G104956;Mycgr3G53658;Mycgr3G75376;Mycgr3G76293;Mycgr3G99503;Mycgr3G73335;Mycgr3G110313;Mycgr3G87601;Mycgr3G76276;Mycgr3G74581;Mycgr3G101715;Mycgr3G66030;Mycgr3G45721;Mycgr3G109076;Mycgr3G42841;Mycgr3G74146;Mycgr3G44997",0.0794453718786996
"map03013","Nucleocytoplasmic transport","",30,84,0.0539568345323741,1.63412127440904,0.0021915964656193,"Mycgr3G56466;Mycgr3G74048;Mycgr3G65878;Mycgr3G70061;Mycgr3G63945;Mycgr3G75892;Mycgr3G108180;Mycgr3G106350;Mycgr3G98830;Mycgr3G104368;Mycgr3G107402;Mycgr3G66037;Mycgr3G110850;Mycgr3G100330;Mycgr3G108717;Mycgr3G107593;Mycgr3G66253;Mycgr3G108776;Mycgr3G111499;Mycgr3G74800;Mycgr3G70159;Mycgr3G49044;Mycgr3G101997;Mycgr3G72059;Mycgr3G42271;Mycgr3G50692;Mycgr3G100162;Mycgr3G75506;Mycgr3G80040;Mycgr3G54822",0.0794453718786996
"map05322","Systemic lupus erythematosus","",7,11,0.012589928057554,2.91170699803793,0.00331120802152742,"Mycgr3G74038;Mycgr3G106182;Mycgr3G106181;Mycgr3G25695;Mycgr3G73004;Mycgr3G36580;Mycgr3G74593",0.106694480693661
"map05012","Parkinson disease","",24,69,0.0431654676258993,1.59149202377229,0.0086098839870603,"Mycgr3G108469;Mycgr3G103595;Mycgr3G60824;Mycgr3G100120;Mycgr3G99175;Mycgr3G101464;Mycgr3G104956;Mycgr3G53658;Mycgr3G75376;Mycgr3G76293;Mycgr3G99503;Mycgr3G73335;Mycgr3G110313;Mycgr3G74909;Mycgr3G87601;Mycgr3G76276;Mycgr3G74581;Mycgr3G101715;Mycgr3G66030;Mycgr3G45721;Mycgr3G109076;Mycgr3G74146;Mycgr3G46939;Mycgr3G44997",0.249686635624749
