efmgrg,gene_id
EFMGRG00000000110,EFMGRG00000000110
EFMGRG00000000133,EFMGRG00000000133
Mycgr3G100022,Mycgr3G100022
Mycgr3G100024,Mycgr3G100024
Mycgr3G100032,Mycgr3G100032
Mycgr3G100038,Mycgr3G100038
Mycgr3G100052,Mycgr3G100052
Mycgr3G100057,Mycgr3G100057
Mycgr3G100058,Mycgr3G100058
Mycgr3G10006,Mycgr3G10006
Mycgr3G100061,Mycgr3G100061
Mycgr3G100062,Mycgr3G100062
Mycgr3G100063,Mycgr3G100063
Mycgr3G100065,Mycgr3G100065
Mycgr3G100069,Mycgr3G100069
Mycgr3G100072,Mycgr3G100072
Mycgr3G100073,Mycgr3G100073
Mycgr3G100074,Mycgr3G100074
Mycgr3G100080,Mycgr3G100080
Mycgr3G100083,Mycgr3G100083
Mycgr3G100094,Mycgr3G100094
Mycgr3G100095,Mycgr3G100095
Mycgr3G100108,Mycgr3G100108
Mycgr3G100120,Mycgr3G100120
Mycgr3G100123,Mycgr3G100123
Mycgr3G100129,Mycgr3G100129
Mycgr3G100157,Mycgr3G100157
Mycgr3G100162,Mycgr3G100162
Mycgr3G100165,Mycgr3G100165
Mycgr3G100167,Mycgr3G100167
Mycgr3G100168,Mycgr3G100168
Mycgr3G100176,Mycgr3G100176
Mycgr3G100193,Mycgr3G100193
Mycgr3G100203,Mycgr3G100203
Mycgr3G100205,Mycgr3G100205
Mycgr3G100210,Mycgr3G100210
Mycgr3G100220,Mycgr3G100220
Mycgr3G100224,Mycgr3G100224
Mycgr3G100226,Mycgr3G100226
Mycgr3G100227,Mycgr3G100227
Mycgr3G100232,Mycgr3G100232
Mycgr3G100239,Mycgr3G100239
Mycgr3G100243,Mycgr3G100243
Mycgr3G100250,Mycgr3G100250
Mycgr3G100252,Mycgr3G100252
Mycgr3G100257,Mycgr3G100257
Mycgr3G100264,Mycgr3G100264
Mycgr3G100271,Mycgr3G100271
Mycgr3G100273,Mycgr3G100273
Mycgr3G100276,Mycgr3G100276
Mycgr3G100278,Mycgr3G100278
Mycgr3G100284,Mycgr3G100284
Mycgr3G100300,Mycgr3G100300
Mycgr3G100306,Mycgr3G100306
Mycgr3G100323,Mycgr3G100323
Mycgr3G100330,Mycgr3G100330
Mycgr3G100343,Mycgr3G100343
Mycgr3G100344,Mycgr3G100344
Mycgr3G100346,Mycgr3G100346
Mycgr3G100355,Mycgr3G100355
Mycgr3G100364,Mycgr3G100364
Mycgr3G100367,Mycgr3G100367
Mycgr3G100372,Mycgr3G100372
Mycgr3G100383,Mycgr3G100383
Mycgr3G100391,Mycgr3G100391
Mycgr3G100409,Mycgr3G100409
Mycgr3G100421,Mycgr3G100421
Mycgr3G100423,Mycgr3G100423
Mycgr3G100434,Mycgr3G100434
Mycgr3G100443,Mycgr3G100443
Mycgr3G100444,Mycgr3G100444
Mycgr3G100450,Mycgr3G100450
Mycgr3G100453,Mycgr3G100453
Mycgr3G100461,Mycgr3G100461
Mycgr3G100462,Mycgr3G100462
Mycgr3G100470,Mycgr3G100470
Mycgr3G100473,Mycgr3G100473
Mycgr3G100492,Mycgr3G100492
Mycgr3G100493,Mycgr3G100493
Mycgr3G100496,Mycgr3G100496
Mycgr3G100498,Mycgr3G100498
Mycgr3G100507,Mycgr3G100507
Mycgr3G100510,Mycgr3G100510
Mycgr3G100515,Mycgr3G100515
Mycgr3G100533,Mycgr3G100533
Mycgr3G100535,Mycgr3G100535
Mycgr3G100547,Mycgr3G100547
Mycgr3G100550,Mycgr3G100550
Mycgr3G100559,Mycgr3G100559
Mycgr3G100567,Mycgr3G100567
Mycgr3G100575,Mycgr3G100575
Mycgr3G100579,Mycgr3G100579
Mycgr3G100580,Mycgr3G100580
Mycgr3G100584,Mycgr3G100584
Mycgr3G100586,Mycgr3G100586
Mycgr3G100589,Mycgr3G100589
Mycgr3G100592,Mycgr3G100592
Mycgr3G100608,Mycgr3G100608
Mycgr3G100614,Mycgr3G100614
Mycgr3G100618,Mycgr3G100618
Mycgr3G100619,Mycgr3G100619
Mycgr3G100626,Mycgr3G100626
Mycgr3G100643,Mycgr3G100643
Mycgr3G100647,Mycgr3G100647
Mycgr3G100649,Mycgr3G100649
Mycgr3G100653,Mycgr3G100653
Mycgr3G100657,Mycgr3G100657
Mycgr3G100666,Mycgr3G100666
Mycgr3G100674,Mycgr3G100674
Mycgr3G100684,Mycgr3G100684
Mycgr3G100718,Mycgr3G100718
Mycgr3G100728,Mycgr3G100728
Mycgr3G100730,Mycgr3G100730
Mycgr3G100744,Mycgr3G100744
Mycgr3G100746,Mycgr3G100746
Mycgr3G100756,Mycgr3G100756
Mycgr3G100764,Mycgr3G100764
Mycgr3G100770,Mycgr3G100770
Mycgr3G100791,Mycgr3G100791
Mycgr3G100794,Mycgr3G100794
Mycgr3G100796,Mycgr3G100796
Mycgr3G100839,Mycgr3G100839
Mycgr3G100840,Mycgr3G100840
Mycgr3G100846,Mycgr3G100846
Mycgr3G100850,Mycgr3G100850
Mycgr3G100851,Mycgr3G100851
Mycgr3G100854,Mycgr3G100854
Mycgr3G100872,Mycgr3G100872
Mycgr3G100874,Mycgr3G100874
Mycgr3G100879,Mycgr3G100879
Mycgr3G100881,Mycgr3G100881
Mycgr3G100890,Mycgr3G100890
Mycgr3G100894,Mycgr3G100894
Mycgr3G100895,Mycgr3G100895
Mycgr3G100896,Mycgr3G100896
Mycgr3G100899,Mycgr3G100899
Mycgr3G100901,Mycgr3G100901
Mycgr3G100915,Mycgr3G100915
Mycgr3G100939,Mycgr3G100939
Mycgr3G100940,Mycgr3G100940
Mycgr3G100955,Mycgr3G100955
Mycgr3G100958,Mycgr3G100958
Mycgr3G100962,Mycgr3G100962
Mycgr3G100967,Mycgr3G100967
Mycgr3G100974,Mycgr3G100974
Mycgr3G100978,Mycgr3G100978
Mycgr3G100985,Mycgr3G100985
Mycgr3G100988,Mycgr3G100988
Mycgr3G100990,Mycgr3G100990
Mycgr3G100994,Mycgr3G100994
Mycgr3G10100,Mycgr3G10100
