kegg_id,kegg_name,n_genes,NES,FDR_q
map03010,Ribosome,117,-3.3126617344675124,0.0
map00071,Fatty acid degradation,36,2.128393782345899,0.0
map00980,Metabolism of xenobiotics by cytochrome P450,36,2.2080221910514335,0.0
map00020,Citrate cycle (TCA cycle),33,-2.326829555097921,0.0
map00230,Purine metabolism,110,-2.3403792229546587,0.0
map03018,RNA degradation,52,-2.3592916585821646,0.0
map03015,mRNA surveillance pathway,48,-2.1614957269065176,0.0
map03020,RNA polymerase,27,-2.406659009390042,0.0
map00190,Oxidative phosphorylation,84,-2.4726780733057825,0.0
map03008,Ribosome biogenesis in eukaryotes,72,-2.539472554090977,0.0
map03013,Nucleocytoplasmic transport,88,-2.7484104686610413,0.0
map03040,Spliceosome,94,-2.825545255899975,0.0
map00240,Pyrimidine metabolism,71,-2.3647157609547715,0.0
map03030,DNA replication,32,-1.9989601826228964,0.00048086089521438266
map00982,Drug metabolism - cytochrome P450,30,1.990583171738052,0.002048670559140729
map00970,Aminoacyl-tRNA biosynthesis,38,-1.9148510612990364,0.002155947749972177
map04146,Peroxisome,76,1.9444342290259349,0.004916809341937749
map03430,Mismatch repair,23,-1.7543430367761912,0.011893947040812893
map03420,Nucleotide excision repair,40,-1.7179548262595767,0.015992059486558324
map00680,Methane metabolism,30,1.7076898722018228,0.047938891083893063
map02010,ABC transporters,14,1.667883419946411,0.053839062294218365
map00740,Riboflavin metabolism,19,1.6553006094532134,0.05419664842817747
map00051,Fructose and mannose metabolism,37,1.7082285598178149,0.05426050309495588
map00626,Naphthalene degradation,17,1.6432985451284725,0.05603113979249894
map00280,"Valine, leucine and isoleucine degradation",49,1.7175901890207772,0.05715790860002634
map00625,Chloroalkane and chloroalkene degradation,22,1.6732495868624324,0.05722619761866436
map00830,Retinol metabolism,11,1.6255975109026768,0.059096266129059494
map00561,Glycerolipid metabolism,41,1.7289503850641927,0.0626893191097063
map00040,Pentose and glucuronate interconversions,29,1.5949212213541624,0.06874753062030818
map03410,Base excision repair,24,-1.5377733242621505,0.07516886208404831
map00670,One carbon pool by folate,16,-1.5045399943857416,0.08917343055118483
map00930,Caprolactam degradation,18,1.5348673119044254,0.09541683129197946
map00380,Tryptophan metabolism,53,1.5376700727043788,0.09989317646370195
map00730,Thiamine metabolism,21,1.4866508861459944,0.12335406966685002
