,12129_15_0_R1_S9,12129_15_0_R2_S10,12129_15_0_R3_S11,12129_15_0_R4_S12,12129_15_0_R5_S13,12129_15_0_R6_S14,12129_15_0_R7_S15,12129_15_0_R8_S16,12129_15_2_R1_S17,12129_15_2_R2_S18,12129_15_2_R3_S19,12129_15_2_R4_S20,12129_15_2_R5_S21,12129_15_2_R6_S22,12129_15_2_R7_S23,12129_15_2_R8_S24,12129_21_0_R1_S25,12129_21_0_R2_S26,12129_21_0_R3_S27,12129_21_0_R4_S28,12129_21_0_R5_S29,12129_21_0_R6_S30,12129_21_0_R7_S31,12129_21_0_R8_S32,12129_21_2_R1_S33,12129_21_2_R3_S34,12129_21_2_R4_S35,12129_21_2_R5_S36,12129_21_2_R6_S37,12129_21_2_R7_S38,12129_21_2_R8_S39,12129_27_0_R1_S40,12129_27_0_R2_S41,12129_27_0_R4_S42,12129_27_0_R5_S43,12129_27_0_R6_S44,12129_27_0_R7_S45,12129_27_0_R8_S46,12129_27_2_R1_S47,12129_27_2_R2_S48,12129_27_2_R3_S49,12129_27_2_R4_S50,12129_27_2_R6_S51,12129_27_2_R7_S52,12129_27_2_R8_S53
EFMGRG00000000110,85.031,79.4148,66.3234,117.7606,107.8088,43.1199,18.4532,143.2358,90.5676,65.8454,91.5157,75.0362,51.0474,17.2712,76.3311,109.3314,75.7688,69.9667,69.5211,79.7918,107.0464,89.8074,73.97,80.0748,73.2974,22.3249,38.6688,8.1341,114.7249,131.9005,20.9152,65.2937,45.8997,36.7017,23.6335,9.2634,34.3388,77.8001,93.6123,21.6514,23.4797,12.377,29.928,35.212,110.8034
EFMGRG00000000133,8.359,11.4936,8.0619,14.032,14.058,1.2257,0.0,10.8275,0.0,0.0,0.0,1.024,0.0,0.0,3.3957,6.8708,0.0,27.3318,11.8925,3.1441,8.0879,9.9241,4.4576,2.3334,5.3279,0.7926,1.6029,0.0,0.0,11.3618,2.3149,0.0,5.8667,0.0,0.0,0.0,0.0,11.2101,0.0,8.3726,42.0025,6.1571,8.6876,8.5264,3.2175
Mycgr3G100022,237.759,255.8031,239.2633,223.2245,177.0683,309.3695,344.3023,256.1574,377.5488,405.4396,558.6595,340.7859,391.7236,504.9016,345.6116,273.1033,260.3561,225.7219,308.4366,349.2373,272.6176,306.3948,318.4424,286.3695,275.5771,288.2995,310.8127,397.5595,291.7697,385.04,475.8056,318.9322,332.3771,443.3508,351.5323,435.992,541.7786,334.733,301.6719,432.8407,344.1592,413.5735,308.7729,247.4133,519.3198
Mycgr3G100024,732.8718,755.1971,386.968,585.2235,658.7204,424.4133,305.3333,646.7019,230.3883,298.1245,340.4358,206.5584,234.0366,257.7247,125.9078,238.9735,595.4153,618.3721,439.9543,454.5454,389.2998,479.5567,448.8409,559.9826,219.1365,169.6992,99.7711,63.5472,253.8226,212.3318,192.0024,316.3482,237.4266,322.2532,299.9594,217.3158,211.3034,226.4001,196.9251,218.1243,122.9683,207.0387,87.4139,137.0338,145.4086
Mycgr3G100032,30.0998,23.6282,18.3819,13.9838,26.8821,31.5763,43.9932,26.7501,82.6527,63.9536,0.0,54.0827,81.4649,43.8883,30.2919,28.3244,10.5008,10.0673,10.4402,7.0169,9.7051,4.3285,10.2444,5.3913,38.5423,38.8576,75.8177,60.1205,100.6903,99.8075,80.0328,11.709,11.0604,21.3345,68.3275,12.7415,62.497,16.2478,51.8613,58.7824,86.6405,42.949,23.7696,8.7994,61.4284
Mycgr3G100038,113.797,115.4943,130.1352,121.9664,109.7432,120.1013,151.1531,108.7411,96.5304,90.6493,0.0,153.7806,74.1626,59.0576,105.2563,105.7183,112.9869,65.4808,118.7109,97.6714,90.043,95.5052,130.0414,92.4684,61.6211,113.0907,111.641,184.3986,107.209,76.5722,156.1699,85.5423,161.4596,114.677,112.0073,149.7939,112.4601,156.8831,50.4336,124.7809,79.9057,81.7002,97.1219,139.9806,108.6729
Mycgr3G100052,67.8541,88.6087,54.9059,72.2804,57.4259,62.2736,59.4381,52.1643,41.5782,133.0458,7.0032,38.4769,55.8119,46.1601,48.887,73.4073,48.2938,0.0,57.5177,48.9292,54.1041,38.8241,62.3296,51.0228,65.011,36.3877,41.6228,99.7457,58.5381,79.5387,52.9133,88.9594,40.7523,79.2399,52.8994,22.6567,89.9363,19.119,93.1757,43.1328,55.549,53.8735,65.1262,62.2771,27.1459
Mycgr3G100057,179.4936,157.3589,184.4174,166.5325,151.9942,177.8432,72.8132,143.7652,159.1476,252.1842,295.8334,206.1518,217.0481,236.8563,198.2344,197.2045,237.8844,160.4776,180.0238,198.2147,204.0971,183.4737,194.9208,158.2267,214.5638,193.4705,83.9348,160.3768,284.38,205.8003,186.3137,203.8677,155.4039,316.0271,189.3721,147.5984,119.5973,226.2097,175.0937,173.0466,191.0273,288.9716,318.3649,281.7555,221.3611
Mycgr3G100058,173.2664,170.9309,109.2244,79.89,97.0025,119.5839,86.7732,130.8265,87.0137,150.1095,338.1271,94.2027,84.3122,275.8252,158.8326,65.4159,74.9331,116.5955,115.0929,74.0866,56.5248,88.0015,89.3049,85.3346,144.1819,89.9281,102.0788,141.2996,77.465,71.5003,118.8075,32.9376,50.6044,98.3997,85.3906,78.3279,74.6732,53.0605,70.7973,68.7231,14.7089,65.6372,112.1216,226.3148,50.6045
Mycgr3G10006,25.2324,22.5498,12.3905,9.0065,35.098,21.0995,18.6052,33.8802,31.9465,0.0,0.0,10.0587,9.0822,19.814,62.4095,24.7664,11.6223,7.4457,5.9986,10.9388,10.3253,6.0058,12.9763,14.5442,12.1878,18.6384,0.0,0.0,7.6143,0.0,0.0,3.2694,0.6501,7.2232,13.1671,8.2737,1.3657,7.0808,9.8262,22.0914,0.0,11.0378,1.2363,5.7572,0.0
Mycgr3G100061,778.0049,787.2694,514.0541,757.1009,836.9497,662.2762,457.7195,832.6685,200.4594,252.1607,111.9978,338.3479,336.724,284.4119,307.7066,318.0445,822.873,684.79,719.9623,583.5194,808.3514,838.8945,694.9946,817.7693,431.5833,312.1215,365.3272,487.0599,228.7565,318.8015,533.0437,747.7675,907.2223,535.1313,490.5709,563.8328,535.6248,409.0868,451.3064,342.2246,371.39,431.8651,458.0126,379.6569,630.3327
Mycgr3G100062,216.2132,186.9016,206.5327,143.177,155.0241,138.7469,313.0238,269.6343,74.7173,157.5585,219.4875,150.6477,128.5321,487.225,117.9918,102.6873,190.0332,118.4461,199.2356,136.7641,160.0927,147.7232,205.028,141.3955,177.6851,227.2962,189.7213,425.2901,133.4742,162.6873,237.0156,173.748,289.6503,347.0173,368.0711,287.2996,274.6722,420.9645,193.16,312.7956,283.0597,155.4076,394.459,247.5001,341.7906
Mycgr3G100063,1989.9266,1928.0438,1757.2503,2136.9948,1941.0818,2212.1583,1127.5293,1701.4362,1874.8104,1694.9579,1040.5925,1666.1196,1954.3165,1373.2604,1572.0597,1698.6315,2940.062,3129.2539,1965.2312,2562.1668,2458.482,2562.6413,1931.3416,3078.9334,1075.0608,1440.5409,823.9489,244.0559,1175.592,1080.7951,582.9379,3035.6594,2529.0943,1338.338,2574.5902,1104.0813,1225.7237,1685.2264,2601.244,1944.2472,638.9252,2164.907,1470.7807,2248.3755,604.5512
Mycgr3G100065,858.6766,818.553,889.0375,963.2319,787.2995,1032.3,836.9243,837.4669,950.9758,1242.953,866.5621,1169.7336,944.3714,1136.9546,1008.2282,1027.8256,716.5072,985.5045,691.554,746.011,751.8112,793.4452,731.8123,794.7159,339.2351,603.9162,553.4336,763.7832,710.2618,714.3851,624.4475,637.8161,681.1667,513.5328,672.8403,483.3657,613.8979,408.9108,600.0314,424.2828,516.6453,504.7872,404.7401,425.2911,506.2946
Mycgr3G100069,237.2755,249.6166,129.1595,146.94,204.3892,81.5676,192.9387,162.2307,50.4425,33.6348,7.1127,3.0683,8.171,0.0,34.7044,9.006,125.7772,73.9955,95.139,120.5544,79.0774,105.3197,65.8496,107.7359,22.9006,33.8634,32.443,19.2506,16.8187,23.1554,58.8757,101.0858,51.5059,45.8607,68.259,59.3028,49.1512,41.4681,76.9784,21.2616,53.6745,29.8945,44.8325,34.9571,32.0749
