Final table with combined global absolute abundance estimations from both datasets including functional annotations using cluster of orthologues groups (COG) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Protein Mass (fg) / Cell,,,,,,,,,,,,,,,,,,,,,
Uniprot Accession,Description,Gene,Peptides.used.for.quantitation,Confidence.score,Molecular weight (Da),Dataset,Glucose,LB,Glycerol + AA,Acetate,Fumarate,Glucosamine,Glycerol,Pyruvate,Chemostat µ=0.5,Chemostat µ=0.35,Chemostat µ=0.20,Chemostat µ=0.12,Stationary phase 1 day,Stationary phase 3 days,Osmotic-stress glucose,42°C glucose,pH6 glucose,Xylose,Mannose,Galactose ,Succinate,Fructose
P0A8T7,DNA-directed RNA polymerase subunit beta' OS=Escherichia coli (strain K12) GN=rpoC PE=1 SV=1,rpoC,91,6045.53,155045.008,2,7.15E-01,1.84E+00,1.16E+00,5.61E-01,6.29E-01,8.54E-01,7.32E-01,7.03E-01,1.23E+00,1.00E+00,8.95E-01,7.72E-01,4.47E-01,4.91E-01,5.79E-01,1.03E+00,8.60E-01,9.35E-01,8.76E-01,5.81E-01,7.12E-01,1.16E+00
P0A8V2,DNA-directed RNA polymerase subunit beta OS=Escherichia coli (strain K12) GN=rpoB PE=1 SV=1,rpoB,89,5061.29,150520.2758,2,9.89E-01,2.22E+00,1.30E+00,6.65E-01,8.00E-01,1.00E+00,9.37E-01,9.28E-01,1.31E+00,1.10E+00,9.65E-01,8.64E-01,5.94E-01,5.57E-01,8.13E-01,1.23E+00,1.01E+00,1.11E+00,1.04E+00,7.05E-01,9.64E-01,1.32E+00
P36683,Aconitate hydratase 2 OS=Escherichia coli (strain K12) GN=acnB PE=1 SV=3,acnB,67,4505.67,93420.9457,2,1.18E+00,2.58E+00,2.72E+00,3.54E+00,3.02E+00,2.13E+00,1.67E+00,2.54E+00,2.44E+00,3.14E+00,2.55E+00,2.14E+00,1.45E-01,1.17E-01,4.37E-01,7.51E-01,7.21E-01,1.04E+00,2.56E+00,2.00E+00,3.03E+00,1.36E+00
P15254,Phosphoribosylformylglycinamidine synthase OS=Escherichia coli (strain K12) GN=purL PE=1 SV=3,purL,65,4277.71,141295.8984,2,5.76E-01,1.93E-01,5.49E-01,3.37E-01,4.86E-01,4.60E-01,4.85E-01,6.35E-01,5.36E-01,4.06E-01,3.44E-01,2.86E-01,1.45E-01,1.72E-01,3.09E-01,4.42E-01,4.01E-01,4.04E-01,4.14E-01,3.68E-01,4.49E-01,5.64E-01
P09831,Glutamate synthase [NADPH] large chain OS=Escherichia coli (strain K12) GN=gltB PE=1 SV=3,gltB,64,4111.74,163176.3153,2,7.75E-01,1.64E-01,1.77E-01,3.69E-01,3.47E-01,5.36E-01,5.97E-01,4.58E-01,6.29E-01,5.31E-01,4.80E-01,3.74E-01,6.22E-02,4.96E-02,2.26E-01,8.07E-01,7.38E-01,6.76E-01,5.63E-01,3.79E-01,4.21E-01,1.05E+00
P0AFG8,Pyruvate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=aceE PE=1 SV=2,aceE,59,3547.25,99587.94042,2,9.62E-01,1.95E+00,1.10E+00,4.04E-01,7.48E-01,6.94E-01,6.73E-01,2.61E+00,9.73E-01,8.72E-01,7.29E-01,7.93E-01,8.73E-01,9.74E-01,1.04E+00,1.15E+00,1.56E+00,1.69E+00,8.11E-01,5.40E-01,7.84E-01,1.56E+00
P0A9Q7,Aldehyde-alcohol dehydrogenase OS=Escherichia coli (strain K12) GN=adhE PE=1 SV=2,adhE,58,4443.68,96048.64958,2,7.74E-01,8.73E-01,8.99E-01,7.19E-01,6.39E-01,1.17E+00,8.27E-01,5.25E-01,1.65E+00,1.22E+00,1.25E+00,1.28E+00,1.12E+00,1.07E+00,8.32E-01,1.44E+00,1.44E+00,1.34E+00,9.53E-01,1.01E+00,6.46E-01,3.19E+00
P0CE47,Elongation factor Tu 1 OS=Escherichia coli (strain K12) GN=tufA PE=1 SV=1,tufA,57,4565.07,43238.30279,2,1.81E+01,3.19E+01,2.65E+01,1.07E+01,1.37E+01,1.25E+01,1.37E+01,1.34E+01,1.30E+01,1.02E+01,8.09E+00,7.33E+00,6.25E+00,6.35E+00,1.54E+01,1.80E+01,1.38E+01,1.56E+01,1.38E+01,1.01E+01,1.41E+01,1.67E+01
P25665,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Escherichia coli (strain K12) GN=metE PE=1 SV=6,metE,56,4067.16,84602.80905,2,7.25E+00,2.40E-01,2.37E-01,2.45E+00,2.77E+00,3.37E+00,4.05E+00,2.62E+00,3.82E+00,1.86E+00,1.17E+00,5.96E-01,4.75E-01,5.01E-01,4.23E+00,4.55E+00,3.62E+00,4.61E+00,3.74E+00,1.64E+00,2.70E+00,5.46E+00
