"gene_id","gene_name","description","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant","direction","comparison","KEGG","PFAM","EC"
"Mycgr3G109275","","GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain",148.704476165744,-3.30590691739097,0.24501440687032,1.5067110069631e-42,1.11843158046871e-38,TRUE,"down","temp_21vs15_proth0","","DUF3425;Zn_clus",""
"Mycgr3G74641","","Major Facilitator Superfamily",299.521856900991,2.31717013864537,0.216704440973141,3.2759588813018e-27,1.21587213879516e-23,TRUE,"up","temp_21vs15_proth0","","MFS_1",""
"Mycgr3G10173","","Domain present in phytochromes and cGMP-specific phosphodiesterases.",396.097765391021,1.57726225358077,0.163881953611747,2.07907269716648e-23,5.14431887702225e-20,TRUE,"up","temp_21vs15_proth0","","HATPase_c;HisKA;Response_reg",""
"Mycgr3G109435","","",135.983625782875,-2.56249260208468,0.267944174185571,2.57446659881256e-22,4.77756639074642e-19,TRUE,"down","temp_21vs15_proth0","","",""
"Mycgr3G41244","","Sugar (and other) transporter",278.791455980616,-3.04933503856234,0.33594239170413,1.31591748973003e-20,1.9536111052532e-17,TRUE,"down","temp_21vs15_proth0","","MFS_1;Sugar_tr",""
"Mycgr3G102217","","",744.487139906898,-0.970312791323719,0.142447583053276,2.08853427988991e-16,2.58386499327047e-13,FALSE,"ns","temp_21vs15_proth0","","zf-MYND",""
"Mycgr3G78728","PMP3","Proteolipid membrane potential modulator",15079.3306826059,0.867574474194429,0.130167821534597,3.52897303632136e-15,3.7422238355162e-12,FALSE,"ns","temp_21vs15_proth0","","Pmp3",""
"Mycgr3G100355","","C2H2-type zinc finger",259.801604894772,-1.62385652571444,0.225502217906828,1.01225553094598e-14,9.39246600776497e-12,TRUE,"down","temp_21vs15_proth0","","zf-C2H2",""
"Mycgr3G46937","","Major Facilitator Superfamily",922.595703429772,2.38320059381241,0.326910922042861,7.35823692320272e-14,5.46201926809338e-11,TRUE,"up","temp_21vs15_proth0","","MFS_1",""
"Mycgr3G98356","SFP1","zinc finger",393.074321241518,-1.27509364481428,0.209389812547651,7.04591135177903e-14,5.46201926809338e-11,TRUE,"down","temp_21vs15_proth0","","zf-C2H2",""
"Mycgr3G66868","","Major Facilitator Superfamily",795.805171189651,1.74384571592535,0.256731914758461,4.31065024817065e-13,2.90890516292461e-10,TRUE,"up","temp_21vs15_proth0","","MFS_1",""
"Mycgr3G86002","","Glutathione S-transferase, C-terminal domain",520.862732476623,0.922706064257277,0.161679937278513,6.44473841171984e-13,3.98660776918303e-10,FALSE,"ns","temp_21vs15_proth0","map00480;map00980;map00982;map00983;map01524;map05200;map05204;map05225;map05418","GST_C_3","2.5.1.18"
"Mycgr3G109710","","Belongs to the CRISP family",100.514990368317,-2.46688057846359,0.376542766509476,1.09596157698602e-11,6.25794060459017e-09,TRUE,"down","temp_21vs15_proth0","","CAP",""
"Mycgr3G28735","","",174.401356607795,-1.37055286545639,0.259563640633766,2.37424402189455e-11,1.17493422496822e-08,TRUE,"down","temp_21vs15_proth0","","",""
"Mycgr3G68282","","Alcohol dehydrogenase GroES-like domain",362.098239406901,-3.67641248854371,0.598834904048543,2.35674744723432e-11,1.17493422496822e-08,TRUE,"down","temp_21vs15_proth0","map00650","ADH_N;ADH_zinc_N","1.1.1.303;1.1.1.4"
"Mycgr3G101503","","Mo-co oxidoreductase dimerisation domain",141.14905437863,-1.89876057551139,0.306303532620966,3.38766162443921e-11,1.57166326488826e-08,TRUE,"down","temp_21vs15_proth0","map00910;map00920;map01100;map01120","Cyt-b5;FAD_binding_6;Mo-co_dimer;NAD_binding_1;Oxidored_molyb","1.7.1.1;1.7.1.2;1.7.1.3;1.8.3.1"
"Mycgr3G109644","","Serine-threonine rich protein",59.9627320946019,-2.97217232144117,0.473210142167607,3.60332656733333e-11,1.57338194760678e-08,TRUE,"down","temp_21vs15_proth0","","",""
"Mycgr3G103470","RSB1","RTA1 like protein",8921.68003419309,-1.19377099255276,0.252662542481268,8.82026067190347e-11,3.44593657723892e-08,TRUE,"down","temp_21vs15_proth0","","RTA1",""
"Mycgr3G105791","ALD5","Belongs to the aldehyde dehydrogenase family",2683.58426869076,-0.661985994324901,0.115267503442759,8.62023803401348e-11,3.44593657723892e-08,FALSE,"ns","temp_21vs15_proth0","map00010;map00053;map00071;map00280;map00310;map00330;map00340;map00350;map00360;map00380;map00410;map00561;map00620;map00625;map00903;map00980;map00981;map00982;map01100;map01110;map01120;map01130;map05204","Aldedh","1.2.1.3;1.2.1.5"
"Mycgr3G67486","trl1","RNA ligase",502.16725794251,-1.52376875099448,0.291793015344061,1.73735514591838e-10,6.44819362407606e-08,TRUE,"down","temp_21vs15_proth0","","RNA_lig_T4_1;tRNA_lig_CPD;tRNA_lig_kinase","6.5.1.3"
"Mycgr3G65552","","Glycosyltransferase like family 2",3005.10519220697,-0.617641945935161,0.107628834437675,1.85479081498413e-10,6.55624391410819e-08,FALSE,"ns","temp_21vs15_proth0","","Glyco_tranf_2_3",""
"Mycgr3G82218","","",1701.30433107567,-0.752152519074604,0.147667209166554,5.03600121833149e-10,1.6991925928943e-07,FALSE,"ns","temp_21vs15_proth0","","",""
"Mycgr3G66524","","Haloacid dehalogenase-like hydrolase",886.100833377645,0.692560350228762,0.132864154876711,8.89016777710373e-10,2.86920501780178e-07,FALSE,"ns","temp_21vs15_proth0","","Hydrolase_6;Hydrolase_like",""
"Mycgr3G77082","","Major Facilitator Superfamily",33.7242403675525,2.40982888315409,0.425134730277622,1.58230831129293e-09,4.89394774780308e-07,TRUE,"up","temp_21vs15_proth0","","MFS_1",""
"Mycgr3G105608",NA,NA,183.775139016713,-2.0092261556329,0.377283177336008,3.17118101658263e-09,9.41587067443716e-07,TRUE,"down","temp_21vs15_proth0",NA,NA,NA
"Mycgr3G105598",NA,NA,584.125991621631,-1.01434502935999,0.266824027011264,8.65889574786287e-09,2.47211473601485e-06,TRUE,"down","temp_21vs15_proth0",NA,NA,NA
"Mycgr3G109450","SOL1","Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase",1412.27186190309,0.714298521535674,0.15360892346672,9.20744544494288e-09,2.53136546436337e-06,FALSE,"ns","temp_21vs15_proth0","map00030;map01100;map01110;map01120;map01130;map01200","Glucosamine_iso","3.1.1.31"
"Mycgr3G108602","","Domain of unknown function (DUF1996)",94.3891268369208,-1.1331399265876,0.315336851627679,2.04176518220403e-08,5.22621480948294e-06,TRUE,"down","temp_21vs15_proth0","","DUF1996;WSC",""
