gene_id,class,interaction_sig,gene_name,description
EFMGRG00000000110,ns,False,,
EFMGRG00000000133,ns,False,,
Mycgr3G100022,ns,True,,Lanthionine synthetase C-like protein
Mycgr3G100024,shared,False,,U2 snRNP auxiliary factor large subunit
Mycgr3G100032,fungicide-specific,False,,Amidohydrolase
Mycgr3G100038,ns,False,,Vta1 like
Mycgr3G100052,ns,False,,Alcohol dehydrogenase GroES-like domain
Mycgr3G100057,ns,False,,Signal recognition particle receptor beta subunit
Mycgr3G100058,ns,False,BBC1,Src homology 3 domains
Mycgr3G10006,heat-specific,False,,Centrosomin N-terminal motif 1
Mycgr3G100061,fungicide-specific,True,POL30,This protein is an auxiliary protein of DNA polymerase delta and is involved in the control of eukaryotic DNA replication by increasing the polymerase's processibility during elongation of the leading strand
Mycgr3G100062,ns,False,,Fungal trichothecene efflux pump (TRI12)
Mycgr3G100063,fungicide-specific,False,,Calreticulin family
Mycgr3G100065,ns,True,HEM12,Belongs to the uroporphyrinogen decarboxylase family
Mycgr3G100069,shared,True,NOP14,Nop14-like family
Mycgr3G100072,ns,False,RFC2,Replication factor C C-terminal domain
Mycgr3G100073,ns,False,,Cystathionine beta-synthase
Mycgr3G100074,ns,False,,ZIP Zinc transporter
Mycgr3G100080,shared,False,,Glutathione-dependent formaldehyde-activating enzyme
Mycgr3G100083,ns,False,,WASP homology region 1
Mycgr3G100094,fungicide-specific,False,ZRT1,ZIP Zinc transporter
Mycgr3G100095,fungicide-specific,True,ADE4,belongs to the purine pyrimidine phosphoribosyltransferase family
Mycgr3G100108,ns,False,CAJ1,X-domain of DnaJ-containing
Mycgr3G100120,fungicide-specific,True,CYC1,"Electron carrier protein. The oxidized form of the cytochrome c heme group can accept an electron from the heme group of the cytochrome c1 subunit of cytochrome reductase. Cytochrome c then transfers this electron to the cytochrome oxidase complex, the final protein carrier in the mitochondrial electron-transport chain"
Mycgr3G100123,ns,False,PHO85,Belongs to the protein kinase superfamily
Mycgr3G100129,ns,False,PCK1,Phosphoenolpyruvate carboxykinase
Mycgr3G100157,ns,False,,Lissencephaly type-1-like homology motif
Mycgr3G100162,fungicide-specific,False,POP1,Ribonucleases P/MRP protein subunit POP1
Mycgr3G100165,ns,False,FUM1,Fumarase C C-terminus
Mycgr3G100167,ns,True,FPR2,FKBP-type peptidyl-prolyl cis-trans isomerase
Mycgr3G100168,ns,False,,"Repeated motif present between transmembrane helices in cystinosin, yeast ERS1p, mannose-P-dolichol utilization defect 1, and other hypothetical proteins."
Mycgr3G100176,ns,False,ENA2,Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family
Mycgr3G100193,ns,False,,Belongs to the class-I aminoacyl-tRNA synthetase family
Mycgr3G100203,shared,True,LYP1,Amino acid permease
Mycgr3G100205,ns,False,SNX4,"PhoX homologous domain, present in p47phox and p40phox."
Mycgr3G100210,ns,False,ALA1,Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged tRNA(Ala) via its editing domain
Mycgr3G100220,fungicide-specific,False,TIF35,"RNA-binding component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation. This subunit can bind 18S rRNA"
