"gene_id","gene_name","description","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant","direction","comparison","KEGG","PFAM","EC"
"Mycgr3G53676","DPS1","Uncharacterised conserved protein (DUF2156)",313.099020207116,2.11686370351119,0.173704459413777,1.72842422693034e-35,1.40641879345322e-31,TRUE,"up","proth_at_27C_2vs0","map00970","DUF2156;tRNA-synt_2;tRNA_anti-codon","6.1.1.12"
"Mycgr3G109582","","Peroxidase, family 2",2361.29614750198,-4.78279592311875,0.43497172301291,1.78091662223512e-29,7.24565927756359e-26,TRUE,"down","proth_at_27C_2vs0","","Peroxidase_2",""
"Mycgr3G97077","","",3518.72279650321,5.94683082590937,0.584628518286866,1.05600579680195e-25,2.86423972285916e-22,TRUE,"up","proth_at_27C_2vs0","","",""
"Mycgr3G50464","CDR1","Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily",1109.28909558534,4.54418044634761,0.458747352132938,1.38576323592881e-24,2.81898886268819e-21,TRUE,"up","proth_at_27C_2vs0","map02010","ABC2_membrane;ABC_tran;ABC_trans_N;PDR_CDR",""
"Mycgr3G104754",NA,NA,2577.69639245957,-2.06907319836612,0.213091184454162,9.90275285587256e-24,1.6115739997647e-20,TRUE,"down","proth_at_27C_2vs0",NA,NA,NA
"Mycgr3G98717",NA,NA,164.538751897506,3.12039891416784,0.3498258391922,7.43081189091538e-21,1.00774193927297e-17,TRUE,"up","proth_at_27C_2vs0",NA,NA,NA
"Mycgr3G30802","","Ricin b lectin",3373.96632929175,5.00099348780299,0.566292801821191,4.27758390181455e-20,4.97238574415214e-17,TRUE,"up","proth_at_27C_2vs0","","",""
"Mycgr3G90715","","von Willebrand factor type A domain",612.569097979113,2.85034365305053,0.332024792532905,1.77261585519659e-19,1.80297190171683e-16,TRUE,"up","proth_at_27C_2vs0","","VWA",""
"Mycgr3G26892","","cfem domain-containing protein",370.548134745815,-3.23287839594127,0.382172468093589,4.10765132513235e-19,3.39152297371954e-16,TRUE,"down","proth_at_27C_2vs0","","CFEM",""
"Mycgr3G45613","","Clock-controlled protein 6",668.367851236689,-3.79843201664483,0.448242475844697,4.16802626732155e-19,3.39152297371954e-16,TRUE,"down","proth_at_27C_2vs0","","",""
"Mycgr3G73150","GDH2","NAD( )-dependent glutamate dehydrogenase which degrades glutamate to ammonia and alpha-ketoglutarate",817.179202802161,1.33835836393988,0.172889765857056,4.52682673929264e-18,3.34861719796584e-15,TRUE,"up","proth_at_27C_2vs0","map00220;map00250;map00430;map00910;map01100","Bac_GDH;ELFV_dehydrog","1.4.1.2"
"Mycgr3G48129","","Fungal hydrophobin",6776.53087396713,-3.94472675547198,0.482506724179742,5.65333106701665e-18,3.83342957435954e-15,TRUE,"down","proth_at_27C_2vs0","","Hydrophobin_2",""
"Mycgr3G79161",NA,NA,10057.6904902349,2.58880194341714,0.318474964692791,1.11452707506976e-17,6.97608216141738e-15,TRUE,"up","proth_at_27C_2vs0",NA,NA,NA
"Mycgr3G102617",NA,NA,3584.56451387354,-5.37726565130097,0.673309655486415,5.33178740588276e-17,3.09891100869057e-14,TRUE,"down","proth_at_27C_2vs0",NA,NA,NA
"Mycgr3G109763","ATF1","Alcohol acetyltransferase",2133.70702869283,-1.25790851433517,0.170749344223783,8.79221535524187e-17,4.76948375637354e-14,TRUE,"down","proth_at_27C_2vs0","","AATase",""
"Mycgr3G81692",NA,NA,572.52260218261,-6.45275040748153,0.827959925774393,1.30741610128258e-16,6.6490280100852e-14,TRUE,"down","proth_at_27C_2vs0",NA,NA,NA
"Mycgr3G99917",NA,NA,2745.52630481834,-2.87419022151827,0.36993920835141,1.47927877853464e-16,7.08052436525669e-14,TRUE,"down","proth_at_27C_2vs0",NA,NA,NA
"Mycgr3G70478","","Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family",238.516275361745,3.18015256009488,0.417092568280762,3.76843077053771e-16,1.70354006554807e-13,TRUE,"up","proth_at_27C_2vs0","map00190;map04022;map04024;map04260;map04261;map04911;map04918;map04919;map04925;map04960;map04961;map04964;map04970;map04971;map04972;map04973;map04974;map04976;map04978","Cation_ATPase;Cation_ATPase_C;Cation_ATPase_N;E1-E2_ATPase;Hydrolase;Hydrolase_3","3.6.3.10;3.6.3.9"
"Mycgr3G111197","","FMN-dependent dehydrogenase",440.287415102218,-3.07081351209145,0.40500768941717,5.49858803748123e-16,2.35484267689393e-13,TRUE,"down","proth_at_27C_2vs0","map00620;map01100","FMN_dh","1.1.2.3"
"Mycgr3G88011","","Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily",535.360898060228,1.42189324960984,0.19932844208903,5.84153234009524e-16,2.37662743256775e-13,TRUE,"up","proth_at_27C_2vs0","map02010","ABC2_membrane;ABC_tran;ABC_trans_N;PDR_CDR",""
"Mycgr3G109777",NA,NA,4419.68054293622,-4.36705804598739,0.586028527743132,2.2629080216834e-15,8.76822979639898e-13,TRUE,"down","proth_at_27C_2vs0",NA,NA,NA
"Mycgr3G38105","","ribonuclease",57.2130854954528,-3.37139051118028,0.45767099179322,2.59113627240231e-15,9.58367084024437e-13,TRUE,"down","proth_at_27C_2vs0","","Ribonuclease","3.1.27.3"
"Mycgr3G104836","","Src homology 3 domains",2700.15943986854,0.945496617523583,0.133570706704187,7.53803151524379e-15,2.66682445389299e-12,FALSE,"ns","proth_at_27C_2vs0","","SH3_9",""
"Mycgr3G105598",NA,NA,584.125991621631,1.6667364089897,0.239374328054767,8.5343193729269e-15,2.89348986406276e-12,TRUE,"up","proth_at_27C_2vs0",NA,NA,NA
