transcript_id,gene_id
EFMGRT00000000002,EFMGRG00000000002
EFMGRT00000000004,EFMGRG00000000004
EFMGRT00000000007,EFMGRG00000000007
EFMGRT00000000011,EFMGRG00000000011
EFMGRT00000000013,EFMGRG00000000013
EFMGRT00000000014,EFMGRG00000000014
EFMGRT00000000015,EFMGRG00000000015
EFMGRT00000000017,EFMGRG00000000017
EFMGRT00000000024,EFMGRG00000000024
EFMGRT00000000026,EFMGRG00000000026
EFMGRT00000000027,EFMGRG00000000027
EFMGRT00000000028,EFMGRG00000000028
EFMGRT00000000032,EFMGRG00000000032
EFMGRT00000000038,EFMGRG00000000038
EFMGRT00000000039,EFMGRG00000000039
EFMGRT00000000041,EFMGRG00000000041
EFMGRT00000000044,EFMGRG00000000044
EFMGRT00000000050,EFMGRG00000000050
EFMGRT00000000058,EFMGRG00000000058
EFMGRT00000000060,EFMGRG00000000060
EFMGRT00000000067,EFMGRG00000000067
EFMGRT00000000069,EFMGRG00000000069
EFMGRT00000000074,EFMGRG00000000074
EFMGRT00000000095,EFMGRG00000000095
EFMGRT00000000097,EFMGRG00000000097
EFMGRT00000000098,EFMGRG00000000098
EFMGRT00000000101,EFMGRG00000000101
EFMGRT00000000110,EFMGRG00000000110
EFMGRT00000000112,EFMGRG00000000112
EFMGRT00000000115,EFMGRG00000000115
EFMGRT00000000116,EFMGRG00000000116
EFMGRT00000000126,EFMGRG00000000126
EFMGRT00000000128,EFMGRG00000000128
EFMGRT00000000133,EFMGRG00000000133
EFMGRT00000000137,EFMGRG00000000137
EFMGRT00000000139,EFMGRG00000000139
EFMGRT00000000140,EFMGRG00000000140
ENSRNA049640924-T1,ENSRNA049640924
ENSRNA049640961-T1,ENSRNA049640961
ENSRNA049640977-T1,ENSRNA049640977
ENSRNA049641014-T1,ENSRNA049641014
ENSRNA049641036-T1,ENSRNA049641036
ENSRNA049641065-T1,ENSRNA049641065
ENSRNA049641105-T1,ENSRNA049641105
ENSRNA049641134-T1,ENSRNA049641134
ENSRNA049641154-T1,ENSRNA049641154
ENSRNA049641192-T1,ENSRNA049641192
ENSRNA049641202-T1,ENSRNA049641202
ENSRNA049641220-T1,ENSRNA049641220
ENSRNA049641244-T1,ENSRNA049641244
ENSRNA049641286-T1,ENSRNA049641286
ENSRNA049641318-T1,ENSRNA049641318
ENSRNA049641333-T1,ENSRNA049641333
ENSRNA049641350-T1,ENSRNA049641350
ENSRNA049641380-T1,ENSRNA049641380
ENSRNA049641414-T1,ENSRNA049641414
ENSRNA049641436-T1,ENSRNA049641436
ENSRNA049641453-T1,ENSRNA049641453
ENSRNA049641468-T1,ENSRNA049641468
ENSRNA049641490-T1,ENSRNA049641490
ENSRNA049641529-T1,ENSRNA049641529
ENSRNA049641552-T1,ENSRNA049641552
ENSRNA049641571-T1,ENSRNA049641571
ENSRNA049641597-T1,ENSRNA049641597
ENSRNA049641614-T1,ENSRNA049641614
ENSRNA049641636-T1,ENSRNA049641636
ENSRNA049641664-T1,ENSRNA049641664
ENSRNA049641686-T1,ENSRNA049641686
ENSRNA049641698-T1,ENSRNA049641698
ENSRNA049641720-T1,ENSRNA049641720
ENSRNA049641747-T1,ENSRNA049641747
ENSRNA049641778-T1,ENSRNA049641778
ENSRNA049641803-T1,ENSRNA049641803
ENSRNA049641838-T1,ENSRNA049641838
ENSRNA049641857-T1,ENSRNA049641857
ENSRNA049641874-T1,ENSRNA049641874
ENSRNA049641887-T1,ENSRNA049641887
ENSRNA049641905-T1,ENSRNA049641905
ENSRNA049641931-T1,ENSRNA049641931
ENSRNA049641943-T1,ENSRNA049641943
ENSRNA049641959-T1,ENSRNA049641959
ENSRNA049641982-T1,ENSRNA049641982
ENSRNA049642000-T1,ENSRNA049642000
ENSRNA049642018-T1,ENSRNA049642018
ENSRNA049642036-T1,ENSRNA049642036
ENSRNA049642062-T1,ENSRNA049642062
ENSRNA049642080-T1,ENSRNA049642080
ENSRNA049642099-T1,ENSRNA049642099
ENSRNA049642126-T1,ENSRNA049642126
ENSRNA049642139-T1,ENSRNA049642139
ENSRNA049642157-T1,ENSRNA049642157
ENSRNA049642169-T1,ENSRNA049642169
ENSRNA049642189-T1,ENSRNA049642189
ENSRNA049642212-T1,ENSRNA049642212
ENSRNA049642237-T1,ENSRNA049642237
ENSRNA049642254-T1,ENSRNA049642254
ENSRNA049642279-T1,ENSRNA049642279
ENSRNA049642306-T1,ENSRNA049642306
ENSRNA049642326-T1,ENSRNA049642326
ENSRNA049642339-T1,ENSRNA049642339
ENSRNA049642362-T1,ENSRNA049642362
ENSRNA049642373-T1,ENSRNA049642373
ENSRNA049642399-T1,ENSRNA049642399
ENSRNA049642439-T1,ENSRNA049642439
ENSRNA049642445-T1,ENSRNA049642445
ENSRNA049642472-T1,ENSRNA049642472
ENSRNA049642497-T1,ENSRNA049642497
ENSRNA049642523-T1,ENSRNA049642523
ENSRNA049642547-T1,ENSRNA049642547
ENSRNA049642577-T1,ENSRNA049642577
ENSRNA049642593-T1,ENSRNA049642593
ENSRNA049642616-T1,ENSRNA049642616
ENSRNA049642643-T1,ENSRNA049642643
ENSRNA049642663-T1,ENSRNA049642663
ENSRNA049642688-T1,ENSRNA049642688
ENSRNA049642704-T1,ENSRNA049642704
ENSRNA049673252-T1,ENSRNA049673252
ENSRNA049673325-T1,ENSRNA049673325
ENSRNA049673345-T1,ENSRNA049673345
ENSRNA049673368-T1,ENSRNA049673368
ENSRNA049673399-T1,ENSRNA049673399
ENSRNA049673431-T1,ENSRNA049673431
ENSRNA049673455-T1,ENSRNA049673455
ENSRNA049673468-T1,ENSRNA049673468
ENSRNA049673525-T1,ENSRNA049673525
ENSRNA049673557-T1,ENSRNA049673557
ENSRNA049673606-T1,ENSRNA049673606
ENSRNA049673636-T1,ENSRNA049673636
ENSRNA049673659-T1,ENSRNA049673659
ENSRNA049673687-T1,ENSRNA049673687
ENSRNA049673713-T1,ENSRNA049673713
ENSRNA049673920-T1,ENSRNA049673920
ENSRNA049673932-T1,ENSRNA049673932
ENSRNA049673952-T1,ENSRNA049673952
ENSRNA049673968-T1,ENSRNA049673968
ENSRNA049673990-T1,ENSRNA049673990
ENSRNA049674011-T1,ENSRNA049674011
ENSRNA049674038-T1,ENSRNA049674038
ENSRNA049674075-T1,ENSRNA049674075
ENSRNA049674111-T1,ENSRNA049674111
ENSRNA049674137-T1,ENSRNA049674137
ENSRNA049674165-T1,ENSRNA049674165
ENSRNA049674193-T1,ENSRNA049674193
ENSRNA049674232-T1,ENSRNA049674232
ENSRNA049674251-T1,ENSRNA049674251
ENSRNA049674282-T1,ENSRNA049674282
ENSRNA049674305-T1,ENSRNA049674305
ENSRNA049674344-T1,ENSRNA049674344
ENSRNA049674355-T1,ENSRNA049674355
ENSRNA049674369-T1,ENSRNA049674369
ENSRNA049674392-T1,ENSRNA049674392
ENSRNA049674429-T1,ENSRNA049674429
ENSRNA049674511-T1,ENSRNA049674511
ENSRNA049674526-T1,ENSRNA049674526
ENSRNA049674557-T1,ENSRNA049674557
ENSRNA049674586-T1,ENSRNA049674586
ENSRNA049674613-T1,ENSRNA049674613
ENSRNA049674653-T1,ENSRNA049674653
Mycgr3T100000,Mycgr3G100000
Mycgr3T100022,Mycgr3G100022
Mycgr3T100024,Mycgr3G100024
Mycgr3T100032,Mycgr3G100032
Mycgr3T100038,Mycgr3G100038
Mycgr3T100052,Mycgr3G100052
Mycgr3T100057,Mycgr3G100057
Mycgr3T100058,Mycgr3G100058
Mycgr3T10006,Mycgr3G10006
Mycgr3T100061,Mycgr3G100061
Mycgr3T100062,Mycgr3G100062
Mycgr3T100063,Mycgr3G100063
Mycgr3T100065,Mycgr3G100065
Mycgr3T100069,Mycgr3G100069
Mycgr3T100072,Mycgr3G100072
Mycgr3T100073,Mycgr3G100073
Mycgr3T100074,Mycgr3G100074
Mycgr3T100080,Mycgr3G100080
Mycgr3T100083,Mycgr3G100083
Mycgr3T100089,Mycgr3G100089
Mycgr3T100094,Mycgr3G100094
Mycgr3T100095,Mycgr3G100095
Mycgr3T100108,Mycgr3G100108
Mycgr3T100120,Mycgr3G100120
Mycgr3T100123,Mycgr3G100123
Mycgr3T100129,Mycgr3G100129
Mycgr3T100157,Mycgr3G100157
Mycgr3T100162,Mycgr3G100162
Mycgr3T100165,Mycgr3G100165
Mycgr3T100167,Mycgr3G100167
Mycgr3T100168,Mycgr3G100168
Mycgr3T100176,Mycgr3G100176
Mycgr3T100193,Mycgr3G100193
Mycgr3T100203,Mycgr3G100203
Mycgr3T100205,Mycgr3G100205
Mycgr3T100210,Mycgr3G100210
Mycgr3T100220,Mycgr3G100220
Mycgr3T100224,Mycgr3G100224
Mycgr3T100226,Mycgr3G100226
Mycgr3T100227,Mycgr3G100227
Mycgr3T100232,Mycgr3G100232
Mycgr3T100239,Mycgr3G100239
Mycgr3T100243,Mycgr3G100243
Mycgr3T100250,Mycgr3G100250
Mycgr3T100252,Mycgr3G100252
Mycgr3T100257,Mycgr3G100257
Mycgr3T100264,Mycgr3G100264
Mycgr3T100271,Mycgr3G100271
Mycgr3T100273,Mycgr3G100273
Mycgr3T100276,Mycgr3G100276
Mycgr3T100278,Mycgr3G100278
Mycgr3T100283,Mycgr3G100283
Mycgr3T100284,Mycgr3G100284
Mycgr3T100300,Mycgr3G100300
Mycgr3T100306,Mycgr3G100306
Mycgr3T100323,Mycgr3G100323
Mycgr3T100330,Mycgr3G100330
Mycgr3T100343,Mycgr3G100343
Mycgr3T100344,Mycgr3G100344
Mycgr3T100346,Mycgr3G100346
Mycgr3T100355,Mycgr3G100355
Mycgr3T100364,Mycgr3G100364
Mycgr3T100367,Mycgr3G100367
Mycgr3T100372,Mycgr3G100372
Mycgr3T100383,Mycgr3G100383
Mycgr3T100386,Mycgr3G100386
Mycgr3T100391,Mycgr3G100391
Mycgr3T100409,Mycgr3G100409
Mycgr3T100421,Mycgr3G100421
Mycgr3T100423,Mycgr3G100423
Mycgr3T100434,Mycgr3G100434
Mycgr3T100443,Mycgr3G100443
Mycgr3T100444,Mycgr3G100444
Mycgr3T100450,Mycgr3G100450
Mycgr3T100453,Mycgr3G100453
Mycgr3T100461,Mycgr3G100461
Mycgr3T100462,Mycgr3G100462
Mycgr3T100470,Mycgr3G100470
Mycgr3T100473,Mycgr3G100473
Mycgr3T100492,Mycgr3G100492
Mycgr3T100493,Mycgr3G100493
Mycgr3T100496,Mycgr3G100496
Mycgr3T100498,Mycgr3G100498
Mycgr3T100507,Mycgr3G100507
Mycgr3T100510,Mycgr3G100510
Mycgr3T100515,Mycgr3G100515
Mycgr3T100533,Mycgr3G100533
Mycgr3T100535,Mycgr3G100535
Mycgr3T100547,Mycgr3G100547
Mycgr3T100550,Mycgr3G100550
Mycgr3T100559,Mycgr3G100559
Mycgr3T100567,Mycgr3G100567
Mycgr3T100575,Mycgr3G100575
Mycgr3T100579,Mycgr3G100579
Mycgr3T100580,Mycgr3G100580
Mycgr3T100584,Mycgr3G100584
Mycgr3T100586,Mycgr3G100586
Mycgr3T100589,Mycgr3G100589
Mycgr3T100592,Mycgr3G100592
Mycgr3T100608,Mycgr3G100608
Mycgr3T100614,Mycgr3G100614
Mycgr3T100618,Mycgr3G100618
Mycgr3T100619,Mycgr3G100619
Mycgr3T100626,Mycgr3G100626
Mycgr3T100643,Mycgr3G100643
Mycgr3T100647,Mycgr3G100647
Mycgr3T100649,Mycgr3G100649
Mycgr3T100653,Mycgr3G100653
Mycgr3T100657,Mycgr3G100657
Mycgr3T100666,Mycgr3G100666
Mycgr3T100674,Mycgr3G100674
Mycgr3T100684,Mycgr3G100684
Mycgr3T100718,Mycgr3G100718
Mycgr3T100728,Mycgr3G100728
Mycgr3T100730,Mycgr3G100730
Mycgr3T100744,Mycgr3G100744
Mycgr3T100746,Mycgr3G100746
Mycgr3T100756,Mycgr3G100756
Mycgr3T100764,Mycgr3G100764
Mycgr3T100770,Mycgr3G100770
Mycgr3T100791,Mycgr3G100791
Mycgr3T100794,Mycgr3G100794
Mycgr3T100796,Mycgr3G100796
Mycgr3T100832,Mycgr3G100832
Mycgr3T100838,Mycgr3G100838
Mycgr3T100839,Mycgr3G100839
Mycgr3T100840,Mycgr3G100840
Mycgr3T100846,Mycgr3G100846
Mycgr3T100850,Mycgr3G100850
Mycgr3T100851,Mycgr3G100851
Mycgr3T100854,Mycgr3G100854
Mycgr3T100869,Mycgr3G100869
Mycgr3T100872,Mycgr3G100872
Mycgr3T100874,Mycgr3G100874
Mycgr3T100879,Mycgr3G100879
Mycgr3T100881,Mycgr3G100881
Mycgr3T100890,Mycgr3G100890
Mycgr3T100894,Mycgr3G100894
Mycgr3T100895,Mycgr3G100895
Mycgr3T100896,Mycgr3G100896
Mycgr3T100899,Mycgr3G100899
Mycgr3T100901,Mycgr3G100901
Mycgr3T100915,Mycgr3G100915
Mycgr3T100939,Mycgr3G100939
Mycgr3T100940,Mycgr3G100940
Mycgr3T100955,Mycgr3G100955
Mycgr3T100958,Mycgr3G100958
Mycgr3T100962,Mycgr3G100962
Mycgr3T100967,Mycgr3G100967
Mycgr3T100974,Mycgr3G100974
Mycgr3T100978,Mycgr3G100978
Mycgr3T100985,Mycgr3G100985
Mycgr3T100988,Mycgr3G100988
Mycgr3T100990,Mycgr3G100990
Mycgr3T100994,Mycgr3G100994
Mycgr3T10100,Mycgr3G10100
Mycgr3T101007,Mycgr3G101007
Mycgr3T101009,Mycgr3G101009
Mycgr3T101025,Mycgr3G101025
Mycgr3T101026,Mycgr3G101026
Mycgr3T101027,Mycgr3G101027
Mycgr3T101035,Mycgr3G101035
Mycgr3T101041,Mycgr3G101041
Mycgr3T101059,Mycgr3G101059
Mycgr3T101063,Mycgr3G101063
Mycgr3T101067,Mycgr3G101067
Mycgr3T101069,Mycgr3G101069
Mycgr3T101073,Mycgr3G101073
Mycgr3T101077,Mycgr3G101077
Mycgr3T101079,Mycgr3G101079
Mycgr3T10108,Mycgr3G10108
Mycgr3T101080,Mycgr3G101080
Mycgr3T101090,Mycgr3G101090
Mycgr3T101096,Mycgr3G101096
Mycgr3T101103,Mycgr3G101103
Mycgr3T101108,Mycgr3G101108
Mycgr3T101114,Mycgr3G101114
Mycgr3T101121,Mycgr3G101121
Mycgr3T101124,Mycgr3G101124
Mycgr3T101134,Mycgr3G101134
Mycgr3T101149,Mycgr3G101149
Mycgr3T101160,Mycgr3G101160
Mycgr3T101162,Mycgr3G101162
Mycgr3T101169,Mycgr3G101169
Mycgr3T101180,Mycgr3G101180
Mycgr3T101182,Mycgr3G101182
Mycgr3T101192,Mycgr3G101192
Mycgr3T101194,Mycgr3G101194
Mycgr3T101204,Mycgr3G101204
Mycgr3T101206,Mycgr3G101206
Mycgr3T101210,Mycgr3G101210
Mycgr3T101221,Mycgr3G101221
Mycgr3T101229,Mycgr3G101229
Mycgr3T101230,Mycgr3G101230
Mycgr3T101235,Mycgr3G101235
Mycgr3T101238,Mycgr3G101238
Mycgr3T101240,Mycgr3G101240
Mycgr3T101252,Mycgr3G101252
Mycgr3T10126,Mycgr3G10126
Mycgr3T101265,Mycgr3G101265
Mycgr3T101270,Mycgr3G101270
Mycgr3T101271,Mycgr3G101271
Mycgr3T101275,Mycgr3G101275
Mycgr3T101277,Mycgr3G101277
Mycgr3T101279,Mycgr3G101279
Mycgr3T101297,Mycgr3G101297
Mycgr3T101300,Mycgr3G101300
Mycgr3T101301,Mycgr3G101301
Mycgr3T101325,Mycgr3G101325
Mycgr3T101326,Mycgr3G101326
Mycgr3T101338,Mycgr3G101338
Mycgr3T101342,Mycgr3G101342
Mycgr3T101353,Mycgr3G101353
Mycgr3T101356,Mycgr3G101356
Mycgr3T101358,Mycgr3G101358
Mycgr3T101362,Mycgr3G101362
Mycgr3T101365,Mycgr3G101365
