"gene_id","gene_name","description","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant","direction","comparison","stat","KEGG","PFAM","EC"
"Mycgr3G43288","","Secretory lipase",291.539737015719,-3.37879730675633,0.403754168678547,5.83801660579096e-17,5.27172899502924e-13,TRUE,"down","interaction_temperature21_prothioconazole2",-8.36845181763657,"","LIP",""
"Mycgr3G10173","","Domain present in phytochromes and cGMP-specific phosphodiesterases.",396.097765391021,-1.90368601985247,0.233234211744278,3.29190282557197e-16,1.0751612791742e-12,TRUE,"down","interaction_temperature21_prothioconazole2",-8.16212169567861,"","HATPase_c;HisKA;Response_reg",""
"Mycgr3G66868","","Major Facilitator Superfamily",795.805171189651,-2.92517130956746,0.358817390408678,3.57196438263854e-16,1.0751612791742e-12,TRUE,"down","interaction_temperature21_prothioconazole2",-8.15225623885123,"","MFS_1",""
"Mycgr3G71784","NEW1","Chromo (CHRromatin Organisation MOdifier) domain",699.835048806609,1.4018358365967,0.21829220423528,1.3464407977038e-10,2.49473558901393e-07,TRUE,"up","interaction_temperature21_prothioconazole2",6.42183188129692,"","ABC_tran;Chromo",""
"Mycgr3G95830","","Phenol hydroxylase, C-terminal dimerisation domain",1220.63315442917,-1.81941965237413,0.283489921630146,1.38135968383939e-10,2.49473558901393e-07,TRUE,"down","interaction_temperature21_prothioconazole2",-6.41793416115804,"","FAD_binding_3;Phe_hydrox_dim",""
"Mycgr3G35590","","ATP-dependent protease La (LON) substrate-binding domain",301.843544686309,-1.43410010205192,0.227037022674407,2.67395351838393e-10,3.44940003871527e-07,TRUE,"down","interaction_temperature21_prothioconazole2",-6.31659138742567,"","LON_substr_bdg;zf-C3HC4_2;zf-RING_UBOX",""
"Mycgr3G74342","","Uncharacterised protein family UPF0047",445.861270326985,-1.15466733510326,0.18228924300011,2.38484131616937e-10,3.44940003871527e-07,TRUE,"down","interaction_temperature21_prothioconazole2",-6.33425931283597,"","UPF0047",""
"Mycgr3G66524","","Haloacid dehalogenase-like hydrolase",886.100833377645,-1.22388693703918,0.194545840156064,3.1543718988236e-10,3.56049728079714e-07,TRUE,"down","interaction_temperature21_prothioconazole2",-6.2909951508466,"","Hydrolase_6;Hydrolase_like",""
"Mycgr3G78728","PMP3","Proteolipid membrane potential modulator",15079.3306826059,-1.0969448500967,0.176271788450261,4.8764016697419e-10,4.89265634197437e-07,TRUE,"down","interaction_temperature21_prothioconazole2",-6.22303126178488,"","Pmp3",""
"Mycgr3G48345","POM33","Uncharacterised protein family (UPF0121)",1619.40049309444,-0.89964079763167,0.147832712102038,1.16104653102216e-09,9.53113652284554e-07,FALSE,"ns","interaction_temperature21_prothioconazole2",-6.08553265944763,"","UPF0121",""
